time,alt,vel
6.666,1254.392,231.234
6.716,1265.931,230.309
6.766,1277.423,229.395
6.816,1288.87,228.489
6.866,1300.272,227.589
6.916,1311.629,226.691
6.966,1322.941,225.79
7.016,1334.208,224.889
7.066,1345.43,223.989
7.116,1356.607,223.093
7.166,1367.74,222.205
7.216,1378.828,221.323
7.266,1389.872,220.449
7.316,1400.873,219.58
7.366,1411.83,218.714
7.416,1422.744,217.85
7.466,1433.615,216.986
7.516,1444.443,216.124
7.566,1455.227,215.263
7.616,1465.969,214.405
7.666,1476.668,213.55
7.716,1487.324,212.702
7.766,1497.938,211.863
7.816,1508.511,211.029
7.866,1519.041,210.201
7.916,1529.531,209.375
7.966,1539.979,208.548
8.016,1550.386,207.721
8.066,1560.751,206.892
8.116,1571.075,206.065
8.166,1581.358,205.243
8.216,1591.599,204.427
8.266,1601.8,203.614
8.316,1611.961,202.808
8.366,1622.081,202.007
8.416,1632.162,201.211
8.466,1642.202,200.418
8.516,1652.203,199.626
8.566,1662.165,198.832
8.616,1672.087,198.039
8.666,1681.969,197.244
8.716,1691.811,196.451
8.766,1701.614,195.664
8.816,1711.378,194.882
8.866,1721.102,194.108
8.916,1730.788,193.34
8.966,1740.436,192.578
9.016,1750.046,191.818
9.066,1759.618,191.06
9.116,1769.152,190.301
9.166,1778.648,189.539
9.216,1788.106,188.776
9.266,1797.526,188.013
9.316,1806.907,187.252
9.366,1816.251,186.495
9.416,1825.557,185.741
9.466,1834.825,184.994
9.516,1844.056,184.251
9.566,1853.25,183.512
9.616,1862.408,182.776
9.666,1871.528,182.043
9.716,1880.612,181.314
9.766,1889.659,180.586
9.816,1898.67,179.857
9.866,1907.645,179.13
9.916,1916.583,178.402
9.966,1925.485,177.676
10.016,1934.351,176.951
10.066,1943.18,176.227
10.116,1951.974,175.506
10.166,1960.731,174.79
10.216,1969.453,174.077
10.266,1978.139,173.368
10.316,1986.79,172.665
10.366,1995.405,171.964
10.416,2003.986,171.265
10.466,2012.532,170.568
10.516,2021.043,169.871
10.566,2029.519,169.173
10.616,2037.96,168.475
10.666,2046.367,167.776
10.716,2054.738,167.079
10.766,2063.074,166.384
10.816,2071.376,165.692
10.866,2079.644,165.002
10.916,2087.877,164.314
10.966,2096.075,163.629
11.016,2104.24,162.947
11.066,2112.37,162.269
11.116,2120.467,161.595
11.166,2128.53,160.924
11.216,2136.559,160.255
11.266,2144.555,159.588
11.316,2152.518,158.923
11.366,2160.447,158.256
11.416,2168.343,157.589
11.466,2176.206,156.921
11.516,2184.036,156.254
11.566,2191.832,155.587
11.616,2199.594,154.921
11.666,2207.324,154.259
11.716,2215.02,153.598
11.766,2222.684,152.939
11.816,2230.314,152.284
11.866,2237.912,151.632
11.916,2245.477,150.983
11.966,2253.01,150.335
12.016,2260.511,149.69
12.066,2267.979,149.045
12.116,2275.416,148.401
12.166,2282.82,147.759
12.216,2290.191,147.118
12.266,2297.531,146.478
12.316,2304.839,145.839
12.366,2312.115,145.2
12.416,2319.359,144.563
12.466,2326.572,143.927
12.516,2333.752,143.292
12.566,2340.901,142.658
12.616,2348.018,142.026
12.666,2355.103,141.394
12.716,2362.157,140.765
12.766,2369.18,140.136
12.816,2376.171,139.509
12.866,2383.131,138.884
12.916,2390.059,138.261
12.966,2396.957,137.639
13.016,2403.823,137.019
13.066,2410.659,136.401
13.116,2417.463,135.785
13.166,2424.237,135.171
13.216,2430.981,134.559
13.266,2437.693,133.947
13.316,2444.375,133.338
13.366,2451.027,132.728
13.416,2457.648,132.118
13.466,2464.239,131.507
13.516,2470.799,130.896
13.566,2477.328,130.285
13.616,2483.827,129.675
13.666,2490.296,129.066
13.716,2496.734,128.46
13.766,2503.142,127.855
13.816,2509.52,127.254
13.866,2515.867,126.655
13.916,2522.185,126.058
13.966,2528.473,125.462
14.016,2534.731,124.868
14.066,2540.96,124.273
14.116,2547.159,123.68
14.166,2553.328,123.088
14.216,2559.468,122.496
14.266,2565.578,121.905
14.316,2571.658,121.315
14.366,2577.709,120.724
14.416,2583.73,120.135
14.466,2589.723,119.546
14.516,2595.685,118.958
14.566,2601.618,118.371
14.616,2607.522,117.785
14.666,2613.397,117.201
14.716,2619.242,116.618
14.766,2625.059,116.037
14.816,2630.846,115.456
14.866,2636.604,114.876
14.916,2642.334,114.298
14.966,2648.034,113.722
15.016,2653.706,113.146
15.066,2659.349,112.572
15.116,2664.963,111.999
15.166,2670.549,111.427
15.216,2676.106,110.854
15.266,2681.634,110.281
15.316,2687.134,109.709
15.366,2692.605,109.137
15.416,2698.048,108.565
15.466,2703.462,107.995
15.516,2708.847,107.427
15.566,2714.204,106.86
15.616,2719.533,106.293
15.666,2724.834,105.728
15.716,2730.106,105.165
15.766,2735.35,104.602
15.816,2740.566,104.04
15.866,2745.754,103.479
15.916,2750.914,102.919
15.966,2756.046,102.359
16.016,2761.15,101.799
16.066,2766.226,101.239
16.116,2771.274,100.679
16.166,2776.294,100.119
16.216,2781.286,99.56
16.266,2786.25,99.002
16.316,2791.186,98.444
16.366,2796.094,97.886
16.416,2800.975,97.331
16.466,2805.828,96.777
16.516,2810.653,96.226
16.566,2815.45,95.674
16.616,2820.22,95.123
16.666,2824.962,94.573
16.716,2829.677,94.023
16.766,2834.365,93.474
16.816,2839.025,92.926
16.866,2843.657,92.38
16.916,2848.263,91.834
16.966,2852.841,91.289
17.016,2857.392,90.745
17.066,2861.915,90.2
17.116,2866.412,89.657
17.166,2870.881,89.113
17.216,2875.323,88.571
17.266,2879.738,88.028
17.316,2884.126,87.487
17.366,2888.487,86.945
17.416,2892.821,86.406
17.466,2897.127,85.867
17.516,2901.407,85.328
17.566,2905.66,84.79
17.616,2909.886,84.253
17.666,2914.086,83.716
17.716,2918.258,83.18
17.766,2922.404,82.644
17.816,2926.522,82.108
17.866,2930.614,81.573
17.916,2934.68,81.038
17.966,2938.718,80.503
18.016,2942.73,79.969
18.066,2946.715,79.435
18.116,2950.673,78.902
18.166,2954.605,78.37
18.216,2958.51,77.838
18.266,2962.389,77.308
18.316,2966.241,76.779
18.366,2970.067,76.251
18.416,2973.866,75.724
18.466,2977.639,75.197
18.516,2981.386,74.671
18.566,2985.106,74.146
18.616,2988.801,73.62
18.666,2992.469,73.095
18.716,2996.11,72.57
18.766,2999.726,72.045
18.816,3003.315,71.521
18.866,3006.878,70.996
18.916,3010.414,70.472
18.966,3013.925,69.947
19.016,3017.409,69.421
19.066,3020.867,68.896
19.116,3024.299,68.37
19.166,3027.704,67.845
19.216,3031.083,67.321
19.266,3034.436,66.796
19.316,3037.763,66.273
19.366,3041.063,65.751
19.416,3044.338,65.231
19.466,3047.586,64.712
19.516,3050.809,64.193
19.566,3054.006,63.677
19.616,3057.177,63.161
19.666,3060.322,62.646
19.716,3063.441,62.131
19.766,3066.535,61.618
19.816,3069.603,61.105
19.866,3072.646,60.593
19.916,3075.662,60.081
19.966,3078.654,59.57
20.016,3081.619,59.06
20.066,3084.56,58.549
20.116,3087.474,58.038
20.166,3090.364,57.529
20.216,3093.227,57.019
20.266,3096.065,56.509
20.316,3098.878,55.999
20.366,3101.665,55.489
20.416,3104.427,54.978
20.466,3107.163,54.467
20.516,3109.874,53.955
20.566,3112.559,53.443
20.616,3115.218,52.93
20.666,3117.852,52.417
20.716,3120.46,51.905
20.766,3123.042,51.394
20.816,3125.599,50.884
20.866,3128.131,50.376
20.916,3130.637,49.867
20.966,3133.117,49.359
21.016,3135.573,48.851
21.066,3138.002,48.344
21.116,3140.407,47.837
21.166,3142.786,47.331
21.216,3145.14,46.825
21.266,3147.469,46.32
21.316,3149.772,45.815
21.366,3152.05,45.31
21.416,3154.303,44.806
21.466,3156.531,44.302
21.516,3158.733,43.799
21.566,3160.911,43.296
21.616,3163.063,42.793
21.666,3165.19,42.29
21.716,3167.292,41.787
21.766,3169.369,41.284
21.816,3171.42,40.781
21.866,3173.447,40.279
21.916,3175.448,39.776
21.966,3177.424,39.275
22.016,3179.376,38.773
22.066,3181.302,38.272
22.116,3183.203,37.772
22.166,3185.079,37.272
22.216,3186.93,36.772
22.266,3188.756,36.273
22.316,3190.557,35.775
22.366,3192.334,35.277
22.416,3194.085,34.78
22.466,3195.812,34.283
22.516,3197.513,33.786
22.566,3199.19,33.29
22.616,3200.842,32.794
22.666,3202.47,32.299
22.716,3204.072,31.804
22.766,3205.65,31.309
22.816,3207.203,30.814
22.866,3208.731,30.32
22.916,3210.235,29.825
22.966,3211.714,29.331
23.016,3213.168,28.836
23.066,3214.598,28.341
23.116,3216.002,27.847
23.166,3217.382,27.353
23.216,3218.738,26.859
23.266,3220.068,26.365
23.316,3221.374,25.872
23.366,3222.655,25.377
23.416,3223.912,24.883
23.466,3225.144,24.389
23.516,3226.351,23.895
23.566,3227.533,23.401
23.616,3228.691,22.907
23.666,3229.824,22.413
23.716,3230.932,21.919
23.766,3232.016,21.425
23.816,3233.075,20.931
23.866,3234.109,20.437
23.916,3235.118,19.943
23.966,3236.103,19.45
24.016,3237.063,18.956
24.066,3237.999,18.463
24.116,3238.91,17.97
24.166,3239.796,17.478
24.216,3240.657,16.985
24.266,3241.494,16.493
24.316,3242.307,16.001
24.366,3243.094,15.509
24.416,3243.858,15.017
24.466,3244.596,14.526
24.516,3245.31,14.035
24.566,3246,13.544
24.616,3246.665,13.054
24.666,3247.305,12.563
24.716,3247.921,12.073
24.766,3248.512,11.583
24.816,3249.079,11.093
24.866,3249.622,10.604
24.916,3250.14,10.115
24.966,3250.633,9.626
25.016,3251.102,9.138
