# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
7.327,1404.046,219.498,0.667
7.377,1414.999,218.628,0.665
7.427,1425.909,217.765,0.662
7.477,1436.776,216.906,0.66
7.527,1447.6,216.052,0.657
7.577,1458.381,215.198,0.655
7.627,1469.12,214.346,0.652
7.677,1479.816,213.492,0.65
7.727,1490.469,212.642,0.647
7.777,1501.08,211.796,0.645
7.827,1511.649,210.954,0.642
7.877,1522.176,210.12,0.64
7.927,1532.661,209.292,0.637
7.977,1543.105,208.467,0.635
8.027,1553.508,207.648,0.633
8.077,1563.87,206.832,0.631
8.127,1574.191,206.016,0.629
8.177,1584.471,205.202,0.626
8.227,1594.711,204.385,0.624
8.277,1604.91,203.566,0.621
8.327,1615.068,202.75,0.619
8.377,1625.185,201.939,0.617
8.427,1635.262,201.136,0.615
8.477,1645.298,200.34,0.613
8.527,1655.296,199.551,0.61
8.577,1665.254,198.766,0.608
8.627,1675.172,197.983,0.606
8.677,1685.052,197.2,0.604
8.727,1694.892,196.416,0.601
8.777,1704.693,195.631,0.599
8.827,1714.455,194.847,0.597
8.877,1724.178,194.065,0.595
8.927,1733.862,193.287,0.592
8.977,1743.507,192.516,0.591
9.027,1753.114,191.751,0.588
9.077,1762.682,190.989,0.586
9.127,1772.213,190.231,0.584
9.177,1781.705,189.476,0.582
9.227,1791.16,188.72,0.58
9.277,1800.577,187.964,0.578
9.327,1809.957,187.207,0.575
9.377,1819.298,186.452,0.573
9.427,1828.602,185.697,0.571
9.477,1837.868,184.946,0.569
9.527,1847.097,184.201,0.567
9.577,1856.288,183.463,0.565
9.627,1865.443,182.728,0.562
9.677,1874.561,181.999,0.561
9.727,1883.643,181.273,0.559
9.777,1892.688,180.548,0.556
9.827,1901.698,179.823,0.554
9.877,1910.671,179.097,0.552
9.927,1919.607,178.371,0.55
9.977,1928.508,177.642,0.548
10.027,1937.372,176.915,0.546
10.077,1946.199,176.188,0.544
10.127,1954.99,175.463,0.542
10.177,1963.746,174.745,0.54
10.227,1972.465,174.032,0.538
10.277,1981.149,173.324,0.536
10.327,1989.797,172.621,0.534
10.377,1998.411,171.923,0.532
10.427,2006.99,171.226,0.53
10.477,2015.534,170.532,0.528
10.527,2024.043,169.836,0.526
10.577,2032.517,169.138,0.524
10.627,2040.957,168.44,0.521
10.677,2049.361,167.74,0.519
10.727,2057.731,167.041,0.517
10.777,2066.065,166.343,0.515
10.827,2074.365,165.651,0.514
10.877,2082.63,164.963,0.512
10.927,2090.862,164.282,0.51
10.977,2099.059,163.604,0.508
11.027,2107.222,162.93,0.506
11.077,2115.352,162.257,0.504
11.127,2123.448,161.585,0.502
11.177,2131.51,160.913,0.501
11.227,2139.539,160.241,0.499
11.277,2147.534,159.569,0.497
11.327,2155.496,158.898,0.495
11.377,2163.424,158.225,0.494
11.427,2171.318,157.551,0.492
11.477,2179.179,156.877,0.49
11.527,2187.006,156.205,0.488
11.577,2194.8,155.536,0.486
11.627,2202.56,154.871,0.484
11.677,2210.287,154.21,0.482
11.727,2217.981,153.553,0.48
11.777,2225.642,152.899,0.478
11.827,2233.271,152.249,0.476
11.877,2240.867,151.602,0.474
11.927,2248.431,150.957,0.472
11.977,2255.963,150.314,0.47
12.027,2263.463,149.671,0.469
12.077,2270.93,149.028,0.467
12.127,2278.365,148.385,0.465
12.177,2285.769,147.742,0.463
12.227,2293.14,147.098,0.461
12.277,2300.478,146.454,0.459
12.327,2307.785,145.81,0.458
12.377,2315.059,145.168,0.456
12.427,2322.302,144.527,0.454
12.477,2329.512,143.889,0.452
12.527,2336.691,143.253,0.451
12.577,2343.837,142.62,0.449
12.627,2350.953,141.988,0.447
12.677,2358.036,141.36,0.445
12.727,2365.089,140.735,0.443
12.777,2372.11,140.11,0.441
12.827,2379.1,139.487,0.44
12.877,2386.058,138.866,0.438
12.927,2392.986,138.246,0.436
12.977,2399.883,137.628,0.435
13.027,2406.749,137.011,0.433
13.077,2413.584,136.394,0.431
13.127,2420.388,135.776,0.429
13.177,2427.162,135.157,0.427
13.227,2433.904,134.54,0.426
13.277,2440.616,133.924,0.424
13.327,2447.297,133.308,0.422
13.377,2453.947,132.694,0.421
13.427,2460.566,132.083,0.419
13.477,2467.155,131.473,0.417
13.527,2473.713,130.866,0.416
13.577,2480.242,130.26,0.414
13.627,2486.739,129.655,0.412
13.677,2493.207,129.051,0.41
13.727,2499.645,128.448,0.408
13.777,2506.052,127.846,0.407
13.827,2512.429,127.245,0.405
13.877,2518.776,126.646,0.404
13.927,2525.094,126.048,0.402
13.977,2531.381,125.45,0.4
14.027,2537.639,124.855,0.399
14.077,2543.867,124.262,0.397
14.127,2550.065,123.67,0.396
14.177,2556.234,123.078,0.394
14.227,2562.373,122.487,0.392
14.277,2568.482,121.895,0.391
14.327,2574.562,121.303,0.389
14.377,2580.613,120.711,0.387
14.427,2586.633,120.12,0.386
14.477,2592.625,119.53,0.384
14.527,2598.587,118.941,0.382
14.577,2604.519,118.352,0.38
14.627,2610.422,117.762,0.378
14.677,2616.295,117.176,0.377
14.727,2622.139,116.591,0.375
14.777,2627.954,116.01,0.374
14.827,2633.74,115.43,0.372
14.877,2639.497,114.853,0.37
14.927,2645.226,114.277,0.369
14.977,2650.925,113.703,0.367
15.027,2656.596,113.13,0.365
15.077,2662.238,112.56,0.364
15.127,2667.852,111.99,0.363
15.177,2673.437,111.421,0.361
15.227,2678.994,110.852,0.359
15.277,2684.522,110.282,0.358
15.327,2690.022,109.712,0.356
15.377,2695.494,109.142,0.355
15.427,2700.936,108.572,0.353
15.477,2706.351,108.001,0.352
15.527,2711.737,107.431,0.35
15.577,2717.094,106.86,0.349
15.627,2722.423,106.289,0.347
15.677,2727.723,105.718,0.345
15.727,2732.994,105.148,0.344
15.777,2738.238,104.58,0.343
15.827,2743.452,104.014,0.341
15.877,2748.639,103.448,0.339
15.927,2753.797,102.883,0.337
15.977,2758.927,102.32,0.336
16.027,2764.029,101.758,0.334
16.077,2769.103,101.198,0.332
16.127,2774.149,100.641,0.331
16.177,2779.167,100.086,0.33
16.227,2784.158,99.533,0.328
16.277,2789.121,98.981,0.327
16.327,2794.056,98.431,0.325
16.377,2798.964,97.882,0.323
16.427,2803.844,97.332,0.322
16.477,2808.697,96.784,0.32
16.527,2813.522,96.236,0.319
16.577,2818.321,95.689,0.318
16.627,2823.091,95.142,0.316
16.677,2827.835,94.594,0.315
16.727,2832.551,94.045,0.313
16.777,2837.239,93.496,0.312
16.827,2841.9,92.947,0.31
16.877,2846.534,92.398,0.309
16.927,2851.14,91.848,0.307
16.977,2855.719,91.297,0.306
17.027,2860.27,90.747,0.305
17.077,2864.793,90.198,0.303
17.127,2869.29,89.649,0.302
17.177,2873.758,89.1,0.3
17.227,2878.2,88.552,0.299
17.277,2882.614,88.007,0.297
17.327,2887,87.463,0.296
17.377,2891.36,86.92,0.295
17.427,2895.692,86.379,0.293
17.477,2899.998,85.838,0.291
17.527,2904.276,85.299,0.29
17.577,2908.528,84.76,0.288
17.627,2912.752,84.224,0.287
17.677,2916.95,83.689,0.285
17.727,2921.121,83.154,0.284
17.777,2925.265,82.62,0.282
17.827,2929.383,82.086,0.28
17.877,2933.474,81.554,0.279
17.927,2937.539,81.024,0.278
17.977,2941.576,80.494,0.277
18.027,2945.588,79.965,0.276
18.077,2949.573,79.437,0.274
18.127,2953.532,78.91,0.273
18.177,2957.464,78.382,0.272
18.227,2961.37,77.855,0.271
18.277,2965.249,77.328,0.269
18.327,2969.103,76.8,0.267
18.377,2972.929,76.27,0.266
18.427,2976.73,75.74,0.264
18.477,2980.503,75.208,0.263
18.527,2984.25,74.677,0.261
18.577,2987.971,74.146,0.26
18.627,2991.665,73.614,0.259
18.677,2995.333,73.084,0.258
18.727,2998.973,72.554,0.256
18.777,3002.588,72.024,0.255
18.827,3006.176,71.495,0.254
18.877,3009.737,70.967,0.252
18.927,3013.273,70.44,0.251
18.977,3016.781,69.913,0.249
19.027,3020.264,69.387,0.248
19.077,3023.72,68.862,0.247
19.127,3027.15,68.338,0.246
19.177,3030.554,67.817,0.245
19.227,3033.932,67.296,0.243
19.277,3037.284,66.778,0.242
19.327,3040.61,66.259,0.24
19.377,3043.91,65.741,0.239
19.427,3047.184,65.223,0.237
19.477,3050.432,64.706,0.236
19.527,3053.654,64.189,0.234
19.577,3056.851,63.671,0.232
19.627,3060.021,63.154,0.231
19.677,3063.166,62.638,0.23
19.727,3066.285,62.122,0.228
19.777,3069.378,61.607,0.227
19.827,3072.446,61.092,0.225
19.877,3075.488,60.578,0.224
19.927,3078.504,60.064,0.223
19.977,3081.494,59.551,0.222
20.027,3084.459,59.039,0.22
20.077,3087.398,58.528,0.219
20.127,3090.312,58.016,0.218
20.177,3093.2,57.505,0.217
20.227,3096.062,56.996,0.216
20.277,3098.899,56.487,0.215
20.327,3101.711,55.979,0.214
20.377,3104.497,55.471,0.213
20.427,3107.258,54.962,0.211
20.477,3109.993,54.453,0.21
20.527,3112.703,53.943,0.208
20.577,3115.388,53.433,0.207
20.627,3118.046,52.923,0.206
20.677,3120.68,52.413,0.205
20.727,3123.288,51.904,0.204
20.777,3125.87,51.395,0.203
20.827,3128.427,50.885,0.201
20.877,3130.959,50.376,0.2
20.927,3133.465,49.866,0.199
20.977,3135.945,49.356,0.198
21.027,3138.4,48.847,0.197
21.077,3140.83,48.337,0.195
21.127,3143.234,47.828,0.194
21.177,3145.613,47.319,0.193
21.227,3147.966,46.811,0.192
21.277,3150.294,46.303,0.192
21.327,3152.596,45.797,0.191
21.377,3154.874,45.292,0.19
21.427,3157.126,44.788,0.189
21.477,3159.352,44.284,0.188
21.527,3161.554,43.78,0.186
21.577,3163.73,43.277,0.185
21.627,3165.882,42.774,0.184
21.677,3168.008,42.27,0.182
21.727,3170.109,41.767,0.18
21.777,3172.184,41.263,0.179
21.827,3174.235,40.758,0.177
21.877,3176.26,40.254,0.176
21.927,3178.26,39.751,0.174
21.977,3180.235,39.247,0.173
22.027,3182.185,38.743,0.171
22.077,3184.11,38.24,0.171
22.127,3186.009,37.738,0.17
22.177,3187.883,37.236,0.168
22.227,3189.733,36.736,0.168
22.277,3191.557,36.237,0.167
22.327,3193.356,35.738,0.166
22.377,3195.131,35.241,0.166
22.427,3196.881,34.745,0.165
22.477,3198.605,34.249,0.164
22.527,3200.305,33.754,0.162
22.577,3201.981,33.259,0.161
22.627,3203.631,32.765,0.16
22.677,3205.257,32.271,0.159
22.727,3206.858,31.777,0.158
22.777,3208.435,31.284,0.157
22.827,3209.987,30.791,0.156
22.877,3211.514,30.298,0.155
22.927,3213.017,29.804,0.154
22.977,3214.495,29.311,0.153
23.027,3215.948,28.819,0.153
23.077,3217.376,28.327,0.152
23.127,3218.781,27.835,0.151
23.177,3220.16,27.344,0.15
23.227,3221.515,26.853,0.15
23.277,3222.845,26.362,0.149
23.327,3224.151,25.871,0.149
23.377,3225.432,25.38,0.149
23.427,3226.689,24.89,0.148
23.477,3227.921,24.4,0.147
23.527,3229.129,23.91,0.146
23.577,3230.312,23.419,0.146
23.627,3231.471,22.928,0.145
23.677,3232.605,22.436,0.144
23.727,3233.715,21.944,0.143
23.777,3234.799,21.452,0.143
23.827,3235.86,20.961,0.143
23.877,3236.896,20.469,0.142
23.927,3237.907,19.976,0.142
23.977,3238.893,19.484,0.14
24.027,3239.855,18.99,0.139
24.077,3240.792,18.497,0.138
24.127,3241.705,18.003,0.137
24.177,3242.592,17.508,0.136
24.227,3243.456,17.013,0.135
24.277,3244.294,16.518,0.135
24.327,3245.107,16.023,0.135
24.377,3245.896,15.529,0.134
24.427,3246.66,15.034,0.134
24.477,3247.4,14.54,0.133
24.527,3248.114,14.045,0.133
24.577,3248.804,13.551,0.133
24.627,3249.469,13.057,0.132
24.677,3250.11,12.564,0.132
24.727,3250.726,12.07,0.132
24.777,3251.317,11.578,0.132
24.827,3251.883,11.085,0.131
24.877,3252.425,10.593,0.131
24.927,3252.943,10.101,0.13
24.977,3253.436,9.609,0.129
25.027,3253.904,9.118,0.129
25.077,3254.347,8.627,0.13
25.127,3254.766,8.136,0.13
25.177,3255.161,7.646,0.13
25.227,3255.531,7.157,0.129
25.277,3255.877,6.668,0.129
25.327,3256.198,6.179,0.128
25.377,3256.494,5.69,0.128
25.427,3256.767,5.202,0.127
25.477,3257.015,4.714,0.127
25.527,3257.238,4.226,0.127
25.577,3257.437,3.739,0.126
25.627,3257.612,3.252,0.125
25.677,3257.762,2.765,0.124
25.727,3257.889,2.279,0.124
25.777,3257.99,1.793,0.123
25.827,3258.068,1.307,0.123
25.877,3258.121,0.822,0.122
25.927,3258.15,0.336,0.122
25.977,3258.155,-0.149,0.123
26.027,3258.135,-0.633,0.123
26.068,3258.101,-1.025,0.121
26.111,3258.048,-1.422,0.118
26.156,3257.975,-1.828,0.115
26.203,3257.879,-2.245,0.113
26.252,3257.758,-2.67,0.111
26.303,3257.612,-3.101,0.109
26.356,3257.438,-3.535,0.106
26.41,3257.232,-3.979,0.103
26.468,3256.988,-4.441,0.1
26.529,3256.706,-4.913,0.099
26.591,3256.382,-5.393,0.096
26.657,3256.012,-5.884,0.094
26.725,3255.596,-6.382,0.093
26.795,3255.129,-6.887,0.09
26.869,3254.602,-7.405,0.088
26.947,3254.006,-7.942,0.086
27.028,3253.34,-8.491,0.084
27.113,3252.594,-9.056,0.081
27.202,3251.761,-9.637,0.081
27.293,3250.857,-10.214,0.079
27.389,3249.844,-10.815,0.077
27.49,3248.727,-11.427,0.076
27.594,3247.506,-12.045,0.076
27.701,3246.187,-12.658,0.074
27.813,3244.733,-13.289,0.074
27.929,3243.153,-13.922,0.073
28.05,3241.43,-14.564,0.073
28.175,3239.565,-15.204,0.071
28.307,3237.511,-15.864,0.071
28.445,3235.274,-16.53,0.071
28.59,3232.84,-17.197,0.071
28.74,3230.201,-17.86,0.07
28.899,3227.305,-18.534,0.071
29.066,3224.16,-19.198,0.07
29.244,3220.685,-19.873,0.072
29.429,3216.946,-20.517,0.072
29.629,3212.786,-21.17,0.073
29.839,3208.264,-21.794,0.074
30.06,3203.395,-22.375,0.074
30.299,3197.982,-22.949,0.075
30.565,3191.785,-23.533,0.075
30.862,3184.705,-24.106,0.076
31.21,3176.232,-24.69,0.077
31.614,3166.151,-25.243,0.078
32.085,3154.145,-25.735,0.079
32.585,3141.181,-26.124,0.08
33.085,3128.06,-26.359,0.08
33.585,3114.839,-26.524,0.08
34.085,3101.545,-26.651,0.081
34.585,3088.201,-26.726,0.081
35.085,3074.824,-26.783,0.081
35.585,3061.426,-26.81,0.081
36.085,3048.016,-26.829,0.081
36.585,3034.599,-26.838,0.081
37.085,3021.181,-26.836,0.081
37.585,3007.764,-26.829,0.081
38.085,2994.352,-26.819,0.081
38.585,2980.946,-26.805,0.081
39.085,2967.548,-26.79,0.081
39.585,2954.157,-26.771,0.081
40.085,2940.776,-26.752,0.08
40.585,2927.404,-26.737,0.08
41.085,2914.039,-26.723,0.08
41.585,2900.682,-26.707,0.08
42.085,2887.333,-26.69,0.08
42.585,2873.991,-26.674,0.08
43.085,2860.659,-26.657,0.08
43.585,2847.335,-26.64,0.08
44.085,2834.019,-26.622,0.08
44.585,2820.713,-26.605,0.08
45.085,2807.415,-26.587,0.08
45.585,2794.125,-26.57,0.08
46.085,2780.845,-26.553,0.08
46.585,2767.573,-26.534,0.08
47.085,2754.311,-26.514,0.08
47.585,2741.058,-26.497,0.079
48.085,2727.813,-26.482,0.079
48.585,2714.577,-26.465,0.079
49.085,2701.348,-26.449,0.079
49.585,2688.128,-26.432,0.079
50.085,2674.916,-26.416,0.079
50.585,2661.713,-26.399,0.079
51.085,2648.517,-26.382,0.079
51.585,2635.33,-26.365,0.079
52.085,2622.152,-26.349,0.079
52.585,2608.982,-26.332,0.079
53.085,2595.82,-26.315,0.079
53.585,2582.667,-26.296,0.079
54.085,2569.523,-26.281,0.079
54.585,2556.387,-26.265,0.079
55.085,2543.258,-26.249,0.078
55.585,2530.138,-26.232,0.078
56.085,2517.026,-26.214,0.078
56.585,2503.923,-26.198,0.078
57.085,2490.828,-26.183,0.078
57.585,2477.741,-26.167,0.078
58.085,2464.662,-26.149,0.078
58.585,2451.591,-26.134,0.078
59.085,2438.528,-26.119,0.078
59.585,2425.472,-26.102,0.078
60.085,2412.426,-26.083,0.078
60.585,2399.388,-26.069,0.078
61.085,2386.357,-26.054,0.078
61.585,2373.335,-26.038,0.078
62.085,2360.32,-26.021,0.078
62.585,2347.314,-26.003,0.078
63.085,2334.317,-25.985,0.077
63.585,2321.328,-25.97,0.077
64.085,2308.347,-25.954,0.077
64.585,2295.374,-25.939,0.077
65.085,2282.409,-25.922,0.077
65.585,2269.452,-25.905,0.077
66.085,2256.504,-25.887,0.077
66.585,2243.564,-25.872,0.077
67.085,2230.632,-25.857,0.077
67.585,2217.708,-25.841,0.077
68.085,2204.791,-25.826,0.077
68.585,2191.882,-25.808,0.077
69.085,2178.982,-25.793,0.077
69.585,2166.089,-25.777,0.077
70.085,2153.205,-25.761,0.077
70.585,2140.329,-25.742,0.077
71.085,2127.462,-25.728,0.076
71.585,2114.602,-25.713,0.076
72.085,2101.749,-25.698,0.076
72.585,2088.904,-25.683,0.076
73.085,2076.066,-25.668,0.076
73.585,2063.236,-25.652,0.076
74.085,2050.414,-25.637,0.076
74.585,2037.599,-25.621,0.076
75.085,2024.793,-25.606,0.076
75.585,2011.994,-25.591,0.076
76.085,1999.202,-25.576,0.076
76.585,1986.418,-25.561,0.076
77.085,1973.641,-25.545,0.076
77.585,1960.872,-25.53,0.076
78.085,1948.111,-25.515,0.076
78.585,1935.358,-25.499,0.076
79.085,1922.612,-25.483,0.076
79.585,1909.874,-25.469,0.076
80.085,1897.143,-25.454,0.075
80.585,1884.42,-25.439,0.075
81.085,1871.704,-25.423,0.075
81.585,1858.996,-25.408,0.075
82.085,1846.296,-25.393,0.075
82.585,1833.604,-25.375,0.075
83.085,1820.921,-25.359,0.075
83.585,1808.245,-25.345,0.075
84.085,1795.576,-25.33,0.075
84.585,1782.915,-25.315,0.075
85.085,1770.261,-25.299,0.075
85.585,1757.615,-25.284,0.075
86.085,1744.977,-25.269,0.075
86.585,1732.346,-25.254,0.075
87.085,1719.723,-25.239,0.075
87.585,1707.107,-25.224,0.075
88.085,1694.5,-25.205,0.075
88.585,1681.901,-25.191,0.074
89.085,1669.309,-25.177,0.074
89.585,1656.724,-25.162,0.074
90.085,1644.146,-25.148,0.074
90.585,1631.576,-25.134,0.074
91.085,1619.013,-25.117,0.074
91.585,1606.459,-25.1,0.074
92.085,1593.912,-25.087,0.074
92.585,1581.372,-25.074,0.074
93.085,1568.839,-25.058,0.074
93.585,1556.313,-25.044,0.074
94.085,1543.795,-25.031,0.074
94.585,1531.283,-25.016,0.074
95.085,1518.778,-25.002,0.074
95.585,1506.281,-24.988,0.074
96.085,1493.79,-24.973,0.074
96.585,1481.307,-24.959,0.074
97.085,1468.832,-24.943,0.074
97.585,1456.363,-24.93,0.073
98.085,1443.902,-24.916,0.073
98.585,1431.448,-24.9,0.073
99.085,1419.001,-24.887,0.073
99.585,1406.561,-24.873,0.073
100.085,1394.129,-24.857,0.073
100.585,1381.704,-24.843,0.073
101.085,1369.285,-24.83,0.073
101.585,1356.874,-24.815,0.073
102.085,1344.471,-24.799,0.073
102.585,1332.074,-24.785,0.073
103.085,1319.686,-24.768,0.073
103.585,1307.305,-24.755,0.073
104.085,1294.932,-24.741,0.073
104.585,1282.565,-24.727,0.073
105.085,1270.205,-24.712,0.073
105.585,1257.852,-24.698,0.073
106.085,1245.507,-24.685,0.073
106.585,1233.168,-24.67,0.073
107.085,1220.836,-24.655,0.072
107.585,1208.512,-24.641,0.072
108.085,1196.195,-24.628,0.072
108.585,1183.885,-24.614,0.072
109.085,1171.582,-24.599,0.072
109.585,1159.286,-24.585,0.072
110.085,1146.997,-24.571,0.072
110.585,1134.714,-24.558,0.072
111.085,1122.439,-24.544,0.072
111.585,1110.171,-24.53,0.072
112.085,1097.909,-24.516,0.072
112.585,1085.655,-24.501,0.072
113.085,1073.407,-24.488,0.072
113.585,1061.167,-24.475,0.072
114.085,1048.933,-24.46,0.072
114.585,1036.706,-24.447,0.072
115.085,1024.486,-24.434,0.072
115.585,1012.272,-24.42,0.072
116.085,1000.066,-24.406,0.071
116.585,987.866,-24.393,0.071
117.085,975.673,-24.38,0.071
117.585,963.486,-24.366,0.071
118.085,951.307,-24.351,0.071
118.585,939.134,-24.339,0.071
119.085,926.968,-24.326,0.071
119.585,914.809,-24.313,0.071
120.085,902.656,-24.297,0.071
120.585,890.511,-24.284,0.071
121.085,878.373,-24.27,0.071
121.585,866.241,-24.257,0.071
122.085,854.116,-24.244,0.071
122.585,841.998,-24.23,0.071
123.085,829.887,-24.212,0.071
123.585,817.784,-24.2,0.071
124.085,805.687,-24.187,0.071
124.585,793.597,-24.173,0.071
125.085,781.514,-24.16,0.071
125.585,769.437,-24.147,0.071
126.085,757.367,-24.134,0.07
126.585,745.303,-24.121,0.07
127.085,733.247,-24.107,0.07
127.585,721.196,-24.094,0.07
128.085,709.153,-24.079,0.07
128.585,697.117,-24.066,0.07
129.085,685.087,-24.053,0.07
129.585,673.065,-24.037,0.07
130.085,661.049,-24.025,0.07
130.585,649.04,-24.012,0.07
131.085,637.037,-24,0.07
131.585,625.041,-23.985,0.07
132.085,613.052,-23.973,0.07
132.585,601.068,-23.96,0.07
133.085,589.092,-23.946,0.07
133.585,577.122,-23.934,0.07
134.085,565.158,-23.921,0.07
134.585,553.201,-23.909,0.07
135.085,541.25,-23.896,0.07
135.585,529.305,-23.883,0.07
136.085,517.367,-23.87,0.069
136.585,505.435,-23.858,0.069
137.085,493.509,-23.845,0.069
137.585,481.59,-23.832,0.069
138.085,469.677,-23.82,0.069
138.585,457.77,-23.806,0.069
139.085,445.87,-23.794,0.069
139.086,445.846,-23.794,0.069
139.104,445.428,-22.794,0.066
139.123,444.985,-21.794,0.063
139.146,444.513,-20.794,0.06
139.17,444.009,-19.795,0.058
139.198,443.467,-18.795,0.055
139.231,442.878,-17.795,0.052
139.268,442.234,-16.795,0.049
139.312,441.521,-15.795,0.046
139.364,440.72,-14.795,0.043
139.428,439.802,-13.797,0.04
139.509,438.721,-12.8,0.037
139.618,437.382,-11.8,0.034
139.776,435.598,-10.8,0.031
140.044,432.837,-9.802,0.029
140.485,428.649,-9.21,0.027
140.954,424.338,-9.186,0.027
141.423,420.023,-9.187,0.027
141.893,415.714,-9.17,0.027
142.363,411.399,-9.184,0.027
142.832,407.09,-9.18,0.027
143.332,402.5,-9.18,0.027
143.801,398.194,-9.178,0.027
144.27,393.89,-9.176,0.027
144.739,389.588,-9.173,0.027
145.208,385.287,-9.172,0.027
145.677,380.988,-9.171,0.027
146.145,376.691,-9.169,0.027
146.614,372.396,-9.166,0.027
147.082,368.102,-9.163,0.027
147.551,363.81,-9.163,0.027
148.019,359.519,-9.161,0.027
148.487,355.231,-9.16,0.027
148.955,350.946,-9.147,0.027
149.424,346.66,-9.148,0.027
149.892,342.375,-9.155,0.027
150.36,338.093,-9.152,0.027
150.828,333.813,-9.15,0.027
151.295,329.535,-9.147,0.027
151.763,325.258,-9.146,0.027
152.23,320.983,-9.145,0.027
152.698,316.71,-9.144,0.027
153.165,312.438,-9.141,0.027
153.632,308.168,-9.138,0.027
154.099,303.9,-9.136,0.027
154.566,299.633,-9.136,0.027
155.033,295.368,-9.135,0.027
155.5,291.106,-9.128,0.026
155.967,286.843,-9.131,0.027
156.433,282.585,-9.121,0.027
156.9,278.331,-9.104,0.026
157.368,274.071,-9.116,0.026
157.835,269.814,-9.124,0.027
158.301,265.564,-9.108,0.026
158.768,261.309,-9.118,0.026
159.234,257.06,-9.116,0.026
159.7,252.811,-9.117,0.026
160.166,248.564,-9.113,0.027
160.632,244.324,-9.092,0.026
161.098,240.077,-9.106,0.026
161.564,235.837,-9.096,0.026
162.03,231.594,-9.108,0.027
162.496,227.36,-9.085,0.026
162.962,223.12,-9.099,0.026
163.428,218.884,-9.1,0.026
163.893,214.651,-9.099,0.026
164.358,210.419,-9.098,0.026
164.823,206.19,-9.089,0.026
165.288,201.962,-9.085,0.026
165.754,197.733,-9.093,0.026
166.218,193.511,-9.078,0.026
166.684,189.284,-9.09,0.026
167.148,185.062,-9.085,0.026
167.613,180.841,-9.087,0.026
168.077,176.622,-9.085,0.026
168.541,172.405,-9.084,0.026
169.006,168.19,-9.078,0.026
169.47,163.975,-9.079,0.026
169.97,159.436,-9.079,0.026
170.434,155.227,-9.069,0.026
170.898,151.017,-9.071,0.026
171.362,146.81,-9.068,0.026
171.826,142.603,-9.071,0.026
172.289,138.399,-9.068,0.026
172.753,134.2,-9.049,0.026
173.217,129.994,-9.066,0.026
173.68,125.795,-9.065,0.026
174.143,121.597,-9.063,0.026
174.606,117.401,-9.061,0.026
175.069,113.207,-9.056,0.026
175.533,109.013,-9.057,0.026
175.995,104.821,-9.056,0.026
176.458,100.631,-9.054,0.026
176.921,96.442,-9.053,0.026
177.383,92.255,-9.051,0.026
177.846,88.07,-9.049,0.026
178.308,83.886,-9.048,0.026
178.77,79.704,-9.045,0.026
179.233,75.523,-9.044,0.026
179.695,71.344,-9.041,0.026
180.157,67.17,-9.027,0.026
180.62,62.991,-9.035,0.026
181.082,58.816,-9.035,0.026
181.544,54.644,-9.033,0.026
182.005,50.472,-9.034,0.026
182.467,46.304,-9.024,0.026
182.929,42.134,-9.031,0.026
183.39,37.967,-9.029,0.026
183.852,33.806,-9.01,0.026
184.314,29.638,-9.026,0.026
184.775,25.476,-9.024,0.026
185.236,21.317,-9.017,0.026
185.697,17.156,-9.021,0.026
186.158,13,-9.015,0.026
186.619,8.843,-9.015,0.026
187.08,4.689,-9.012,0.026
187.541,0.538,-9.002,0.026
187.601,0,-9.001,0.026
