# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
0,0,0,0.011
0.011,0,0.019,0.011
0.017,0,0.121,0.011
0.023,0.001,0.273,0.011
0.028,0.003,0.464,0.011
0.033,0.006,0.681,0.011
0.038,0.01,0.912,0.011
0.043,0.016,1.16,0.012
0.048,0.022,1.42,0.012
0.053,0.03,1.684,0.012
0.058,0.038,1.956,0.013
0.063,0.049,2.232,0.013
0.068,0.06,2.507,0.014
0.073,0.073,2.791,0.014
0.078,0.087,3.071,0.015
0.082,0.103,3.353,0.015
0.087,0.12,3.643,0.016
0.092,0.138,3.928,0.017
0.097,0.157,4.214,0.017
0.102,0.178,4.501,0.018
0.107,0.201,4.794,0.019
0.111,0.225,5.083,0.019
0.116,0.25,5.371,0.02
0.121,0.276,5.661,0.021
0.126,0.304,5.951,0.022
0.131,0.334,6.241,0.022
0.136,0.365,6.538,0.023
0.14,0.397,6.829,0.024
0.145,0.43,7.121,0.025
0.15,0.465,7.413,0.025
0.155,0.502,7.705,0.026
0.16,0.539,7.998,0.027
0.164,0.578,8.291,0.028
0.169,0.619,8.585,0.029
0.174,0.661,8.879,0.029
0.179,0.704,9.173,0.03
0.184,0.749,9.468,0.031
0.188,0.795,9.762,0.032
0.193,0.843,10.058,0.033
0.198,0.891,10.354,0.033
0.203,0.942,10.65,0.034
0.208,0.994,10.946,0.035
0.212,1.047,11.243,0.036
0.217,1.102,11.54,0.037
0.222,1.158,11.838,0.038
0.227,1.215,12.136,0.039
0.232,1.274,12.434,0.039
0.236,1.335,12.733,0.04
0.241,1.397,13.032,0.041
0.246,1.46,13.331,0.042
0.251,1.524,13.631,0.043
0.256,1.591,13.931,0.044
0.26,1.658,14.231,0.045
0.265,1.727,14.532,0.045
0.27,1.798,14.833,0.046
0.275,1.868,15.128,0.047
0.279,1.941,15.43,0.048
0.284,2.016,15.732,0.049
0.289,2.093,16.034,0.05
0.294,2.17,16.337,0.05
0.299,2.249,16.64,0.051
0.303,2.33,16.944,0.052
0.308,2.41,17.241,0.053
0.313,2.494,17.546,0.054
0.318,2.579,17.85,0.055
0.323,2.665,18.155,0.056
0.327,2.753,18.46,0.056
0.332,2.842,18.766,0.057
0.337,2.931,19.066,0.058
0.342,3.024,19.372,0.059
0.346,3.117,19.679,0.06
0.351,3.212,19.986,0.061
0.356,3.309,20.293,0.062
0.361,3.405,20.594,0.063
0.366,3.505,20.902,0.063
0.37,3.606,21.211,0.064
0.375,3.708,21.519,0.065
0.38,3.81,21.822,0.066
0.385,3.916,22.131,0.067
0.389,4.023,22.441,0.068
0.394,4.131,22.751,0.069
0.399,4.239,23.055,0.07
0.404,4.35,23.366,0.07
0.409,4.463,23.677,0.071
0.413,4.575,23.982,0.072
0.418,4.691,24.293,0.073
0.423,4.808,24.605,0.074
0.428,4.925,24.911,0.075
0.432,5.045,25.224,0.076
0.437,5.167,25.537,0.077
0.442,5.288,25.844,0.077
0.447,5.412,26.157,0.078
0.451,5.539,26.471,0.079
0.456,5.664,26.779,0.08
0.461,5.793,27.093,0.081
0.466,5.924,27.408,0.082
0.47,6.053,27.716,0.083
0.475,6.187,28.032,0.084
0.48,6.323,28.347,0.084
0.485,6.457,28.657,0.085
0.49,6.595,28.973,0.086
0.494,6.732,29.283,0.087
0.499,6.873,29.6,0.088
0.504,7.013,29.911,0.089
0.509,7.157,30.229,0.09
0.513,7.303,30.547,0.091
0.518,7.447,30.858,0.092
0.523,7.596,31.177,0.093
0.528,7.744,31.489,0.093
0.532,7.895,31.808,0.094
0.537,8.046,32.121,0.095
0.542,8.201,32.441,0.096
0.547,8.354,32.755,0.097
0.551,8.512,33.076,0.098
0.556,8.671,33.397,0.099
0.561,8.829,33.711,0.1
0.566,8.992,34.033,0.101
0.57,9.152,34.348,0.102
0.575,9.318,34.67,0.103
0.58,9.482,34.986,0.103
0.585,9.647,35.302,0.104
0.589,9.817,35.625,0.105
0.594,9.985,35.942,0.106
0.599,10.159,36.265,0.107
0.604,10.33,36.583,0.108
0.608,10.506,36.907,0.109
0.613,10.68,37.225,0.11
0.618,10.86,37.55,0.111
0.623,11.037,37.868,0.112
0.627,11.22,38.194,0.113
0.632,11.4,38.513,0.114
0.637,11.582,38.832,0.115
0.642,11.769,39.159,0.116
0.646,11.954,39.479,0.117
0.651,12.144,39.806,0.118
0.656,12.332,40.126,0.118
0.66,12.521,40.447,0.119
0.665,12.716,40.775,0.12
0.67,12.908,41.096,0.121
0.675,13.106,41.425,0.122
0.679,13.302,41.747,0.123
0.684,13.499,42.069,0.124
0.689,13.702,42.399,0.125
0.694,13.902,42.722,0.126
0.698,14.103,43.045,0.127
0.703,14.311,43.375,0.128
0.708,14.515,43.699,0.129
0.713,14.726,44.03,0.13
0.717,14.933,44.354,0.131
0.722,15.143,44.679,0.132
0.727,15.358,45.01,0.133
0.732,15.57,45.336,0.134
0.736,15.784,45.661,0.135
0.741,15.999,45.987,0.136
0.746,16.221,46.32,0.136
0.75,16.439,46.646,0.137
0.755,16.659,46.972,0.138
0.76,16.886,47.306,0.139
0.765,17.109,47.633,0.14
0.769,17.334,47.961,0.141
0.774,17.565,48.295,0.142
0.779,17.792,48.623,0.143
0.784,18.022,48.951,0.144
0.788,18.252,49.28,0.145
0.793,18.49,49.616,0.146
0.798,18.724,49.945,0.147
0.802,18.959,50.274,0.148
0.807,19.196,50.604,0.149
0.812,19.44,50.94,0.15
0.817,19.68,51.27,0.151
0.821,19.922,51.601,0.152
0.826,20.165,51.931,0.153
0.831,20.41,52.262,0.154
0.836,20.662,52.6,0.155
0.84,20.91,52.932,0.156
0.845,21.159,53.263,0.157
0.85,21.41,53.595,0.158
0.854,21.669,53.934,0.159
0.859,21.923,54.267,0.16
0.864,22.179,54.599,0.161
0.869,22.436,54.932,0.162
0.873,22.695,55.266,0.163
0.878,22.956,55.599,0.164
0.883,23.223,55.94,0.165
0.887,23.487,56.274,0.166
0.892,23.752,56.608,0.167
0.897,24.019,56.942,0.168
0.902,24.287,57.277,0.169
0.906,24.557,57.612,0.17
0.911,24.835,57.954,0.171
0.916,25.108,58.289,0.172
0.92,25.383,58.625,0.172
0.925,25.659,58.961,0.173
0.93,25.937,59.297,0.174
0.935,26.216,59.633,0.175
0.939,26.498,59.97,0.176
0.944,26.786,60.314,0.177
0.949,27.07,60.651,0.178
0.953,27.356,60.988,0.179
0.958,27.644,61.325,0.18
0.963,27.933,61.663,0.181
0.968,28.223,62.001,0.182
0.972,28.516,62.339,0.183
0.977,28.809,62.677,0.184
0.982,29.105,63.016,0.185
0.986,29.402,63.355,0.186
0.991,29.707,63.701,0.187
0.996,30.007,64.041,0.188
1.001,30.309,64.38,0.189
1.005,30.612,64.72,0.19
1.01,30.917,65.06,0.191
1.015,31.224,65.4,0.192
1.019,31.532,65.74,0.193
1.024,31.842,66.081,0.194
1.029,32.153,66.422,0.195
1.033,32.466,66.763,0.196
1.038,32.78,67.104,0.197
1.043,33.097,67.445,0.198
1.048,33.414,67.787,0.199
1.052,33.734,68.129,0.2
1.057,34.055,68.471,0.201
1.062,34.377,68.813,0.202
1.066,34.702,69.155,0.203
1.071,35.028,69.498,0.204
1.076,35.355,69.841,0.205
1.08,35.684,70.184,0.206
1.085,36.015,70.527,0.207
1.09,36.347,70.87,0.208
1.095,36.681,71.214,0.209
1.099,37.016,71.558,0.21
1.104,37.354,71.902,0.211
1.109,37.692,72.246,0.212
1.113,38.033,72.59,0.213
1.118,38.375,72.935,0.214
1.123,38.718,73.279,0.215
1.127,39.063,73.624,0.216
1.132,39.41,73.969,0.217
1.137,39.759,74.315,0.218
1.142,40.109,74.66,0.22
1.146,40.461,75.006,0.221
1.151,40.814,75.352,0.222
1.156,41.169,75.697,0.223
1.16,41.525,76.044,0.224
1.165,41.884,76.39,0.225
1.17,42.244,76.736,0.226
1.174,42.605,77.083,0.227
1.179,42.968,77.43,0.228
1.184,43.333,77.777,0.229
1.189,43.699,78.124,0.23
1.193,44.067,78.471,0.231
1.198,44.437,78.819,0.232
1.203,44.808,79.166,0.233
1.207,45.181,79.514,0.234
1.212,45.548,79.855,0.235
1.217,45.924,80.203,0.236
1.221,46.301,80.551,0.237
1.226,46.681,80.899,0.238
1.231,47.062,81.248,0.239
1.235,47.445,81.596,0.24
1.24,47.829,81.945,0.241
1.245,48.215,82.294,0.242
1.25,48.602,82.643,0.243
1.254,48.992,82.993,0.244
1.259,49.383,83.342,0.245
1.264,49.767,83.684,0.246
1.268,50.161,84.034,0.247
1.273,50.557,84.384,0.248
1.278,50.954,84.733,0.249
1.282,51.353,85.083,0.25
1.287,51.754,85.434,0.251
1.292,52.156,85.784,0.252
1.296,52.56,86.134,0.253
1.301,52.957,86.478,0.254
1.306,53.365,86.828,0.256
1.31,53.773,87.179,0.257
1.315,54.184,87.53,0.258
1.32,54.596,87.881,0.259
1.325,55.01,88.232,0.26
1.329,55.426,88.584,0.261
1.334,55.834,88.927,0.262
1.339,56.253,89.279,0.263
1.343,56.673,89.631,0.264
1.348,57.095,89.982,0.265
1.353,57.519,90.334,0.266
1.357,57.944,90.686,0.267
1.362,58.371,91.038,0.268
1.367,58.791,91.383,0.269
1.371,59.221,91.735,0.27
1.376,59.653,92.088,0.271
1.381,60.087,92.44,0.272
1.385,60.522,92.793,0.273
1.39,60.959,93.145,0.274
1.395,61.388,93.491,0.275
1.399,61.829,93.844,0.276
1.404,62.271,94.197,0.277
1.409,62.714,94.55,0.278
1.414,63.159,94.903,0.279
1.418,63.597,95.249,0.28
1.423,64.045,95.602,0.282
1.428,64.495,95.955,0.283
1.432,64.947,96.309,0.284
1.437,65.401,96.663,0.285
1.442,65.856,97.016,0.286
1.446,66.303,97.363,0.287
1.451,66.761,97.717,0.288
1.456,67.221,98.071,0.289
1.46,67.683,98.425,0.29
1.465,68.147,98.779,0.291
1.47,68.602,99.126,0.292
1.474,69.069,99.481,0.293
1.479,69.537,99.835,0.294
1.484,70.007,100.19,0.295
1.488,70.469,100.537,0.296
1.493,70.942,100.892,0.297
1.498,71.417,101.247,0.298
1.502,71.894,101.602,0.3
1.507,72.372,101.957,0.301
1.512,72.842,102.304,0.302
1.516,73.324,102.66,0.303
1.521,73.807,103.015,0.304
1.526,74.292,103.37,0.305
1.53,74.768,103.718,0.306
1.535,75.257,104.074,0.307
1.54,75.746,104.43,0.308
1.545,76.238,104.786,0.309
1.549,76.721,105.134,0.31
1.554,77.216,105.49,0.311
1.559,77.713,105.846,0.312
1.563,78.211,106.203,0.313
1.568,78.711,106.559,0.314
1.573,79.202,106.908,0.315
1.577,79.705,107.264,0.316
1.582,80.21,107.621,0.318
1.587,80.717,107.977,0.319
1.591,81.214,108.327,0.32
1.596,81.724,108.683,0.321
1.601,82.236,109.04,0.322
1.605,82.749,109.398,0.323
1.61,83.253,109.747,0.324
1.615,83.77,110.104,0.325
1.619,84.288,110.462,0.326
1.624,84.797,110.812,0.327
