# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
1.629,85.319,111.169,0.328
1.633,85.842,111.527,0.329
1.638,86.367,111.885,0.33
1.643,86.883,112.235,0.331
1.647,87.411,112.593,0.332
1.652,87.941,112.951,0.333
1.657,88.473,113.309,0.334
1.661,88.995,113.66,0.336
1.666,89.53,114.019,0.337
1.671,90.067,114.377,0.338
1.675,90.605,114.736,0.339
1.68,91.134,115.087,0.34
1.685,91.675,115.446,0.341
1.689,92.219,115.805,0.342
1.694,92.752,116.157,0.343
1.699,93.299,116.516,0.344
1.703,93.848,116.876,0.345
1.708,94.398,117.236,0.346
1.713,94.938,117.588,0.347
1.717,95.491,117.948,0.348
1.722,96.047,118.308,0.35
1.727,96.592,118.661,0.351
1.731,97.15,119.021,0.352
1.736,97.71,119.382,0.353
1.741,98.272,119.742,0.354
1.745,98.824,120.095,0.355
1.75,99.389,120.456,0.356
1.755,99.956,120.818,0.357
1.759,100.513,121.171,0.358
1.764,101.083,121.533,0.359
1.769,101.655,121.894,0.36
1.774,102.229,122.256,0.361
1.778,102.792,122.61,0.362
1.783,103.369,122.972,0.364
1.788,103.948,123.335,0.365
1.792,104.516,123.689,0.366
1.797,105.098,124.052,0.367
1.802,105.682,124.415,0.368
1.806,106.255,124.77,0.369
1.811,106.843,125.133,0.37
1.816,107.432,125.496,0.371
1.82,108.022,125.86,0.372
1.825,108.602,126.215,0.373
1.83,109.196,126.579,0.374
1.834,109.792,126.943,0.375
1.839,110.377,127.299,0.376
1.844,110.976,127.664,0.377
1.848,111.577,128.028,0.379
1.853,112.167,128.385,0.38
1.858,112.771,128.75,0.381
1.862,113.377,129.115,0.382
1.867,113.972,129.472,0.383
1.872,114.581,129.837,0.384
1.876,115.192,130.203,0.385
1.881,115.805,130.568,0.386
1.886,116.406,130.926,0.387
1.89,117.022,131.292,0.388
1.895,117.64,131.659,0.389
1.9,118.247,132.017,0.39
1.904,118.868,132.384,0.391
1.909,119.491,132.75,0.393
1.914,120.103,133.109,0.394
1.918,120.729,133.476,0.395
1.923,121.357,133.844,0.396
1.928,121.974,134.203,0.397
1.932,122.606,134.571,0.398
1.937,123.239,134.939,0.399
1.942,123.874,135.307,0.4
1.946,124.497,135.667,0.401
1.951,125.136,136.035,0.402
1.956,125.776,136.404,0.403
1.96,126.404,136.765,0.405
1.965,127.048,137.134,0.406
1.97,127.693,137.503,0.407
1.974,128.327,137.864,0.408
1.979,128.975,138.233,0.409
1.984,129.626,138.603,0.41
1.988,130.264,138.965,0.411
1.993,130.918,139.335,0.412
1.998,131.574,139.705,0.413
2.002,132.218,140.067,0.414
2.007,132.877,140.437,0.415
2.012,133.538,140.808,0.417
2.016,134.2,141.179,0.418
2.021,134.851,141.541,0.419
2.026,135.517,141.912,0.42
2.03,136.185,142.284,0.421
2.035,136.84,142.647,0.422
2.04,137.511,143.018,0.423
2.044,138.184,143.39,0.424
2.049,138.845,143.754,0.425
2.054,139.521,144.125,0.426
2.058,140.2,144.497,0.428
2.063,140.865,144.862,0.429
2.068,141.547,145.234,0.43
2.072,142.23,145.606,0.431
2.077,142.916,145.979,0.432
2.082,143.588,146.343,0.433
2.086,144.277,146.716,0.434
2.091,144.967,147.089,0.435
2.096,145.644,147.454,0.436
2.1,146.338,147.827,0.437
2.105,147.034,148.2,0.439
2.11,147.717,148.565,0.44
2.114,148.416,148.939,0.441
2.119,149.117,149.312,0.442
2.124,149.804,149.678,0.443
2.128,150.509,150.052,0.444
2.133,151.215,150.425,0.445
2.138,151.923,150.799,0.446
2.142,152.617,151.165,0.448
2.147,153.328,151.539,0.449
2.152,154.042,151.913,0.45
2.156,154.741,152.28,0.451
2.161,155.458,152.654,0.452
2.166,156.176,153.028,0.453
2.17,156.881,153.394,0.454
2.175,157.603,153.769,0.455
2.18,158.326,154.143,0.456
2.184,159.052,154.518,0.458
2.189,159.763,154.884,0.459
2.194,160.492,155.259,0.46
2.198,161.223,155.633,0.461
2.203,161.94,156,0.462
2.208,162.674,156.375,0.463
2.212,163.409,156.749,0.464
2.217,164.147,157.124,0.465
2.222,164.871,157.491,0.466
2.226,165.612,157.865,0.467
2.231,166.355,158.24,0.469
2.236,167.083,158.607,0.47
2.24,167.83,158.981,0.471
2.245,168.578,159.356,0.472
2.25,169.328,159.73,0.473
2.254,170.063,160.097,0.474
2.259,170.817,160.471,0.475
2.264,171.572,160.846,0.476
2.268,172.312,161.212,0.477
2.273,173.071,161.587,0.478
2.278,173.831,161.961,0.48
2.283,174.593,162.335,0.481
2.287,175.341,162.701,0.482
2.292,176.107,163.075,0.483
2.297,176.874,163.449,0.484
2.301,177.643,163.823,0.485
2.306,178.397,164.189,0.486
2.311,179.17,164.563,0.487
2.315,179.944,164.937,0.488
2.32,180.704,165.302,0.49
2.325,181.482,165.676,0.491
2.329,182.261,166.049,0.492
2.334,183.043,166.423,0.493
2.339,183.809,166.788,0.494
2.343,184.594,167.161,0.495
2.348,185.38,167.534,0.496
2.353,186.169,167.907,0.497
2.357,186.942,168.271,0.498
2.362,187.733,168.644,0.499
2.367,188.527,169.016,0.501
2.371,189.322,169.389,0.502
2.376,190.102,169.753,0.503
2.381,190.901,170.125,0.504
2.385,191.701,170.497,0.505
2.39,192.504,170.868,0.506
2.395,193.29,171.232,0.507
2.399,194.096,171.603,0.508
2.404,194.904,171.974,0.509
2.409,195.713,172.345,0.51
2.413,196.506,172.708,0.511
2.418,197.319,173.079,0.513
2.423,198.133,173.45,0.514
2.427,198.949,173.82,0.515
2.432,199.75,174.182,0.516
2.437,200.569,174.552,0.517
2.441,201.391,174.922,0.518
2.446,202.214,175.292,0.519
2.451,203.038,175.661,0.52
2.455,203.847,176.023,0.521
2.46,204.675,176.392,0.523
2.465,205.505,176.761,0.524
2.47,206.337,177.13,0.525
2.474,207.17,177.498,0.526
2.479,207.988,177.859,0.527
2.484,208.824,178.227,0.528
2.488,209.663,178.595,0.529
2.493,210.503,178.963,0.53
2.498,211.327,179.323,0.531
2.502,212.171,179.691,0.532
2.507,213.016,180.058,0.534
2.512,213.863,180.426,0.535
2.516,214.712,180.793,0.536
2.521,215.545,181.152,0.537
2.526,216.397,181.519,0.538
2.53,217.251,181.886,0.539
2.535,218.107,182.252,0.54
2.54,218.964,182.619,0.541
2.544,219.823,182.985,0.542
2.549,220.666,183.344,0.543
2.554,221.529,183.71,0.545
2.558,222.393,184.076,0.546
2.563,223.259,184.442,0.547
2.568,224.127,184.807,0.548
2.572,224.978,185.165,0.549
2.577,225.849,185.531,0.55
2.582,226.722,185.897,0.551
2.587,227.596,186.262,0.552
2.591,228.472,186.628,0.553
2.596,229.35,186.993,0.554
2.601,230.23,187.358,0.555
2.605,231.093,187.716,0.557
2.61,231.976,188.081,0.558
2.615,232.861,188.446,0.559
2.619,233.747,188.811,0.56
2.624,234.636,189.177,0.561
2.629,235.526,189.542,0.562
2.633,236.398,189.899,0.563
2.638,237.292,190.264,0.564
2.643,238.187,190.629,0.565
2.647,239.084,190.995,0.566
2.652,239.982,191.36,0.567
2.657,240.882,191.725,0.569
2.662,241.784,192.09,0.57
2.666,242.688,192.456,0.571
2.671,243.574,192.813,0.572
2.676,244.481,193.179,0.573
2.68,245.39,193.544,0.574
2.685,246.301,193.91,0.575
2.69,247.213,194.275,0.576
2.694,248.127,194.641,0.577
2.699,249.042,195.007,0.579
2.704,249.96,195.373,0.58
2.708,250.879,195.739,0.581
2.713,251.8,196.104,0.582
2.718,252.703,196.463,0.583
2.722,253.627,196.829,0.584
2.727,254.553,197.195,0.585
2.732,255.481,197.561,0.586
2.737,256.41,197.927,0.587
2.741,257.341,198.293,0.588
2.746,258.274,198.66,0.589
2.751,259.208,199.026,0.591
2.755,260.145,199.393,0.592
2.76,261.083,199.759,0.593
2.765,262.022,200.126,0.594
2.769,262.964,200.492,0.595
2.774,263.907,200.859,0.596
2.779,264.832,201.218,0.597
2.783,265.778,201.584,0.598
2.788,266.727,201.951,0.599
2.793,267.677,202.318,0.6
2.798,268.629,202.684,0.602
2.802,269.582,203.051,0.603
2.807,270.537,203.418,0.604
2.812,271.494,203.785,0.605
2.816,272.453,204.151,0.606
2.821,273.413,204.518,0.607
2.826,274.375,204.885,0.608
2.83,275.339,205.252,0.609
2.835,276.305,205.618,0.61
2.84,277.272,205.985,0.611
2.845,278.241,206.351,0.612
2.849,279.212,206.718,0.614
2.854,280.184,207.084,0.615
2.859,281.158,207.451,0.616
2.863,282.134,207.817,0.617
2.868,283.112,208.183,0.618
2.873,284.091,208.549,0.619
2.877,285.072,208.915,0.62
2.882,286.055,209.281,0.621
2.887,287.039,209.647,0.622
2.892,288.025,210.012,0.623
2.896,289.013,210.378,0.624
2.901,290.003,210.743,0.626
2.906,290.994,211.109,0.627
2.91,291.987,211.474,0.628
2.915,292.982,211.839,0.629
2.92,293.979,212.203,0.63
2.924,294.977,212.568,0.631
2.929,295.977,212.932,0.632
2.934,297,213.304,0.633
2.939,298.003,213.668,0.634
2.943,299.008,214.032,0.635
2.948,300.015,214.395,0.636
2.953,301.024,214.758,0.637
2.957,302.034,215.121,0.639
2.962,303.046,215.484,0.64
2.967,304.059,215.846,0.641
2.972,305.075,216.208,0.642
2.976,306.092,216.57,0.643
2.981,307.11,216.931,0.644
2.986,308.131,217.293,0.645
2.99,309.175,217.661,0.646
2.995,310.199,218.022,0.647
3,311.224,218.382,0.648
3.005,312.251,218.742,0.649
3.009,313.28,219.101,0.65
3.014,314.311,219.46,0.651
3.019,315.343,219.819,0.653
3.023,316.377,220.178,0.654
3.028,317.413,220.536,0.655
3.033,318.472,220.902,0.656
3.038,319.511,221.259,0.657
3.042,320.552,221.617,0.658
3.047,321.595,221.974,0.659
3.052,322.639,222.33,0.66
3.056,323.685,222.687,0.661
3.061,324.754,223.05,0.662
3.066,325.804,223.406,0.663
3.071,326.854,223.761,0.665
3.075,327.907,224.116,0.666
3.08,328.961,224.47,0.667
3.085,330.017,224.825,0.668
3.089,331.097,225.186,0.669
3.094,332.156,225.539,0.67
3.099,333.217,225.893,0.671
3.104,334.28,226.245,0.672
3.108,335.344,226.598,0.673
3.113,336.432,226.958,0.674
3.118,337.5,227.309,0.675
3.122,338.569,227.661,0.676
3.127,339.64,228.012,0.677
3.132,340.712,228.362,0.678
3.137,341.809,228.72,0.679
3.141,342.885,229.07,0.681
3.146,343.963,229.42,0.682
3.151,345.042,229.77,0.683
3.156,346.145,230.126,0.684
3.16,347.228,230.475,0.685
3.165,348.312,230.824,0.686
3.17,349.398,231.173,0.687
3.174,350.508,231.528,0.688
3.179,351.597,231.876,0.689
3.184,352.688,232.224,0.69
3.189,353.803,232.579,0.691
3.193,354.897,232.927,0.692
3.198,355.993,233.274,0.693
3.203,357.09,233.621,0.694
3.208,358.212,233.976,0.696
3.212,359.313,234.323,0.697
3.217,360.415,234.669,0.698
3.222,361.542,235.023,0.699
3.226,362.647,235.37,0.7
3.231,363.754,235.716,0.701
3.236,364.887,236.07,0.702
3.241,365.997,236.416,0.703
3.245,367.109,236.762,0.704
3.25,368.246,237.115,0.705
3.255,369.362,237.461,0.706
3.26,370.479,237.807,0.707
3.264,371.621,238.16,0.708
3.269,372.741,238.505,0.709
3.274,373.887,238.858,0.71
3.279,375.01,239.204,0.711
3.283,376.135,239.549,0.712
3.288,377.286,239.902,0.713
3.293,378.414,240.247,0.714
3.298,379.568,240.599,0.715
3.302,380.7,240.944,0.716
3.307,381.833,241.289,0.718
3.312,382.992,241.641,0.719
3.316,384.129,241.986,0.72
3.321,385.291,242.338,0.721
3.326,386.431,242.682,0.722
3.331,387.572,243.027,0.723
3.335,388.74,243.379,0.724
3.34,389.884,243.723,0.725
3.345,391.055,244.075,0.726
3.35,392.203,244.419,0.727
3.354,393.377,244.77,0.728
3.359,394.528,245.114,0.729
3.364,395.706,245.465,0.73
3.369,396.86,245.808,0.731
3.373,398.041,246.159,0.732
3.378,399.199,246.502,0.733
3.383,400.383,246.853,0.734
3.388,401.544,247.196,0.735
3.392,402.731,247.546,0.736
3.397,403.895,247.888,0.737
3.402,405.086,248.238,0.739
3.407,406.254,248.58,0.74
3.411,407.448,248.929,0.741
3.416,408.618,249.271,0.742
3.421,409.816,249.619,0.743
3.426,410.99,249.961,0.744
3.43,412.19,250.309,0.745
3.435,413.368,250.649,0.746
3.44,414.572,250.996,0.747
3.445,415.777,251.343,0.748
3.449,416.959,251.683,0.749
3.454,418.168,252.029,0.75
3.459,419.354,252.368,0.751
3.464,420.566,252.714,0.752
3.469,421.78,253.059,0.753
3.473,422.97,253.397,0.754
3.478,424.187,253.741,0.755
3.483,425.38,254.078,0.756
3.488,426.601,254.421,0.757
3.492,427.823,254.764,0.758
3.497,429.021,255.1,0.759
3.502,430.246,255.442,0.76
3.507,431.473,255.783,0.761
3.511,432.676,256.117,0.762
3.516,433.906,256.457,0.763
3.521,435.138,256.797,0.764
3.526,436.346,257.13,0.765
3.53,437.581,257.468,0.766
3.535,438.818,257.806,0.767
3.54,440.03,258.137,0.768
3.545,441.27,258.474,0.769
3.55,442.511,258.81,0.77
3.554,443.729,259.139,0.771
3.559,444.973,259.475,0.773
3.564,446.219,259.809,0.774
3.569,447.467,260.144,0.775
3.573,448.691,260.47,0.776
3.578,449.942,260.804,0.777
3.583,451.195,261.136,0.778
3.588,452.449,261.468,0.779
3.592,453.678,261.793,0.78
3.597,454.936,262.124,0.781
3.602,456.195,262.455,0.782
3.607,457.455,262.785,0.783
3.612,458.718,263.115,0.784
3.616,459.955,263.437,0.785
3.621,461.22,263.766,0.786
3.626,462.487,264.094,0.787
3.631,463.756,264.422,0.788
3.636,465.026,264.75,0.789
3.64,466.271,265.07,0.79
3.645,467.544,265.397,0.791
3.65,468.818,265.723,0.792
3.655,470.095,266.05,0.793
3.659,471.373,266.375,0.794
3.664,472.652,266.701,0.795
3.669,473.933,267.026,0.796
3.674,475.215,267.352,0.797
3.679,476.473,267.67,0.798
3.683,477.758,267.994,0.799
3.688,479.045,268.319,0.8
3.693,480.334,268.643,0.8
3.698,481.624,268.967,0.801
3.703,482.916,269.291,0.802
3.707,484.21,269.615,0.803
3.712,485.505,269.939,0.804
3.717,486.801,270.263,0.805
3.722,488.099,270.586,0.806
3.727,489.399,270.909,0.807
3.731,490.7,271.232,0.808
3.736,492.002,271.555,0.809
3.741,493.307,271.878,0.81
3.746,494.613,272.201,0.811
3.751,495.92,272.524,0.812
3.755,497.229,272.847,0.813
3.76,498.539,273.169,0.814
3.765,499.851,273.491,0.815
3.77,501.165,273.813,0.816
3.775,502.48,274.135,0.817
3.779,503.796,274.457,0.818
3.784,505.115,274.778,0.819
3.789,506.434,275.1,0.82
3.794,507.756,275.421,0.821
3.799,509.078,275.742,0.822
3.803,510.403,276.062,0.823
3.808,511.729,276.383,0.824
3.813,513.056,276.703,0.825
3.818,514.385,277.023,0.826
3.823,515.743,277.349,0.827
3.827,517.075,277.668,0.828
3.832,518.409,277.987,0.829
3.837,519.744,278.306,0.83
3.842,521.08,278.624,0.831
3.847,522.419,278.941,0.832
3.851,523.758,279.259,0.833
3.856,525.127,279.582,0.834
3.861,526.47,279.898,0.835
3.866,527.814,280.214,0.836
3.871,529.16,280.53,0.837
3.876,530.508,280.844,0.838
3.88,531.884,281.165,0.839
3.885,533.235,281.479,0.84
3.89,534.587,281.792,0.841
3.895,535.94,282.105,0.842
3.9,537.323,282.423,0.843
3.905,538.679,282.734,0.843
3.909,540.037,283.045,0.844
3.914,541.397,283.355,0.845
3.919,542.786,283.671,0.846
3.924,544.148,283.979,0.847
3.929,545.512,284.287,0.848
3.933,546.877,284.594,0.849
3.938,548.273,284.907,0.85
3.943,549.641,285.213,0.851
3.948,551.011,285.517,0.852
3.952,552.039,285.734,0.853
3.955,553.039,285.924,0.853
3.959,554.04,286.093,0.854
3.962,555.071,286.248,0.854
3.966,556.073,286.381,0.855
3.969,557.075,286.498,0.855
3.973,558.107,286.602,0.855
3.976,559.11,286.69,0.856
3.98,560.114,286.765,0.856
3.983,561.146,286.83,0.856
3.987,562.15,286.881,0.856
3.99,563.154,286.923,0.856
3.994,564.187,286.955,0.857
3.997,565.192,286.978,0.857
4.001,566.196,286.992,0.857
4.005,567.229,286.999,0.857
4.008,568.234,286.998,0.857
4.012,569.238,286.991,0.857
4.015,570.271,286.977,0.857
4.019,571.276,286.958,0.857
4.022,572.28,286.933,0.857
4.026,573.313,286.903,0.857
4.029,574.317,286.869,0.857
4.033,575.321,286.831,0.857
4.036,576.354,286.788,0.856
4.04,577.357,286.742,0.856
4.043,578.361,286.693,0.856
4.047,579.393,286.639,0.856
4.05,580.396,286.584,0.856
4.054,581.399,286.527,0.856
4.058,582.43,286.465,0.856
4.061,583.433,286.403,0.855
4.065,584.435,286.339,0.855
4.068,585.466,286.271,0.855
4.072,586.468,286.203,0.855
4.075,587.469,286.134,0.855
