# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
1.629,85.357,111.307,0.328
1.633,85.881,111.666,0.329
1.638,86.407,112.026,0.33
1.643,86.923,112.379,0.331
1.647,87.452,112.739,0.332
1.652,87.983,113.099,0.333
1.657,88.515,113.46,0.334
1.661,89.038,113.813,0.335
1.666,89.574,114.173,0.336
1.671,90.111,114.534,0.337
1.675,90.65,114.895,0.338
1.68,91.18,115.248,0.339
1.685,91.722,115.61,0.341
1.689,92.266,115.971,0.342
1.694,92.801,116.325,0.343
1.699,93.348,116.686,0.344
1.703,93.897,117.048,0.345
1.708,94.448,117.41,0.346
1.713,94.989,117.764,0.347
1.717,95.544,118.126,0.348
1.722,96.1,118.488,0.349
1.727,96.645,118.843,0.35
1.731,97.205,119.205,0.351
1.736,97.766,119.568,0.352
1.741,98.329,119.931,0.353
1.745,98.881,120.286,0.354
1.75,99.448,120.649,0.355
1.755,100.015,121.012,0.357
1.759,100.573,121.367,0.358
1.764,101.144,121.731,0.359
1.769,101.717,122.094,0.36
1.774,102.292,122.458,0.361
1.778,102.856,122.814,0.362
1.783,103.434,123.178,0.363
1.788,104.014,123.542,0.364
1.792,104.583,123.899,0.365
1.797,105.166,124.263,0.366
1.802,105.751,124.628,0.367
1.806,106.325,124.985,0.368
1.811,106.913,125.35,0.369
1.816,107.503,125.715,0.371
1.82,108.095,126.08,0.372
1.825,108.676,126.438,0.373
1.83,109.271,126.804,0.374
1.834,109.868,127.169,0.375
1.839,110.454,127.528,0.376
1.844,111.054,127.894,0.377
1.848,111.656,128.26,0.378
1.853,112.247,128.618,0.379
1.858,112.852,128.985,0.38
1.862,113.459,129.352,0.381
1.867,114.055,129.711,0.382
1.872,114.666,130.078,0.384
1.876,115.278,130.445,0.385
1.881,115.892,130.812,0.386
1.886,116.494,131.172,0.387
1.89,117.112,131.54,0.388
1.895,117.731,131.908,0.389
1.9,118.338,132.268,0.39
1.904,118.961,132.636,0.391
1.909,119.585,133.005,0.392
1.914,120.198,133.365,0.393
1.918,120.826,133.734,0.395
1.923,121.455,134.103,0.396
1.928,122.073,134.464,0.397
1.932,122.705,134.833,0.398
1.937,123.34,135.203,0.399
1.942,123.976,135.572,0.4
1.946,124.601,135.934,0.401
1.951,125.241,136.304,0.402
1.956,125.882,136.674,0.403
1.96,126.512,137.036,0.404
1.965,127.157,137.406,0.406
1.97,127.803,137.777,0.407
1.974,128.438,138.139,0.408
1.979,129.088,138.51,0.409
1.984,129.74,138.881,0.41
1.988,130.38,139.244,0.411
1.993,131.035,139.615,0.412
1.998,131.692,139.986,0.413
2.002,132.337,140.35,0.414
2.007,132.997,140.722,0.415
2.012,133.659,141.093,0.416
2.016,134.323,141.465,0.418
2.021,134.975,141.829,0.419
2.026,135.643,142.201,0.42
2.03,136.312,142.573,0.421
2.035,136.968,142.938,0.422
2.04,137.641,143.31,0.423
2.044,138.316,143.682,0.424
2.049,138.977,144.047,0.425
2.054,139.655,144.42,0.426
2.058,140.335,144.793,0.427
2.063,141.002,145.158,0.429
2.068,141.685,145.531,0.43
2.072,142.37,145.904,0.431
2.077,143.056,146.277,0.432
2.082,143.73,146.642,0.433
2.086,144.42,147.016,0.434
2.091,145.112,147.389,0.435
2.096,145.791,147.755,0.436
2.1,146.486,148.129,0.437
2.105,147.183,148.503,0.438
2.11,147.867,148.868,0.439
2.114,148.568,149.242,0.441
2.119,149.27,149.616,0.442
2.124,149.959,149.983,0.443
2.128,150.665,150.357,0.444
2.133,151.373,150.731,0.445
2.138,152.082,151.105,0.446
2.142,152.778,151.472,0.447
2.147,153.491,151.846,0.448
2.152,154.205,152.22,0.449
2.156,154.906,152.587,0.451
2.161,155.624,152.961,0.452
2.166,156.344,153.336,0.453
2.17,157.05,153.703,0.454
2.175,157.774,154.077,0.455
2.18,158.499,154.452,0.456
2.184,159.225,154.827,0.457
2.189,159.938,155.193,0.458
2.194,160.669,155.568,0.459
2.198,161.401,155.943,0.46
2.203,162.119,156.31,0.462
2.208,162.854,156.685,0.463
2.212,163.592,157.059,0.464
2.217,164.331,157.434,0.465
2.222,165.056,157.801,0.466
2.226,165.798,158.176,0.467
2.231,166.543,158.551,0.468
2.236,167.273,158.917,0.469
2.24,168.021,159.292,0.47
2.245,168.77,159.667,0.472
2.25,169.522,160.042,0.473
2.254,170.259,160.408,0.474
2.259,171.013,160.783,0.475
2.264,171.77,161.158,0.476
2.268,172.512,161.524,0.477
2.273,173.272,161.899,0.478
2.278,174.034,162.273,0.479
2.283,174.798,162.648,0.481
2.287,175.547,163.014,0.482
2.292,176.314,163.389,0.483
2.297,177.082,163.763,0.484
2.301,177.853,164.137,0.485
2.306,178.609,164.504,0.486
2.311,179.383,164.878,0.487
2.315,180.159,165.252,0.488
2.32,180.92,165.618,0.489
2.325,181.699,165.992,0.491
2.329,182.48,166.366,0.492
2.334,183.263,166.74,0.493
2.339,184.031,167.105,0.494
2.343,184.817,167.479,0.495
2.348,185.605,167.852,0.496
2.353,186.395,168.226,0.497
2.357,187.169,168.591,0.498
2.362,187.963,168.964,0.499
2.367,188.758,169.337,0.5
2.371,189.554,169.71,0.502
2.376,190.336,170.075,0.503
2.381,191.136,170.448,0.504
2.385,191.938,170.82,0.505
2.39,192.742,171.193,0.506
2.395,193.53,171.557,0.507
2.399,194.337,171.929,0.508
2.404,195.146,172.301,0.509
2.409,195.957,172.673,0.51
2.413,196.752,173.036,0.511
2.418,197.566,173.408,0.513
2.423,198.382,173.779,0.514
2.427,199.2,174.151,0.515
2.432,200.002,174.514,0.516
2.437,200.823,174.885,0.517
2.441,201.646,175.255,0.518
2.446,202.47,175.626,0.519
2.451,203.297,175.997,0.52
2.455,204.107,176.359,0.521
2.46,204.937,176.729,0.522
2.465,205.768,177.099,0.523
2.47,206.601,177.469,0.525
2.474,207.436,177.839,0.526
2.479,208.255,178.2,0.527
2.484,209.094,178.57,0.528
2.488,209.934,178.939,0.529
2.493,210.776,179.308,0.53
2.498,211.601,179.669,0.531
2.502,212.447,180.038,0.532
2.507,213.294,180.406,0.533
2.512,214.143,180.775,0.534
2.516,214.993,181.143,0.535
2.521,215.827,181.504,0.537
2.526,216.681,181.872,0.538
2.53,217.537,182.24,0.539
2.535,218.394,182.608,0.54
2.54,219.253,182.976,0.541
2.544,220.114,183.344,0.542
2.549,220.958,183.704,0.543
2.554,221.823,184.072,0.544
2.558,222.689,184.439,0.545
2.563,223.556,184.807,0.546
2.568,224.426,185.174,0.548
2.572,225.278,185.534,0.549
2.577,226.151,185.901,0.55
2.582,227.026,186.269,0.551
2.587,227.902,186.636,0.552
2.591,228.78,187.003,0.553
2.596,229.66,187.371,0.554
2.601,230.542,187.738,0.555
2.605,231.406,188.097,0.556
2.61,232.291,188.465,0.558
2.615,233.178,188.832,0.559
2.619,234.066,189.199,0.56
2.624,234.956,189.566,0.561
2.629,235.848,189.934,0.562
2.633,236.722,190.293,0.563
2.638,237.618,190.66,0.564
2.643,238.515,191.028,0.565
2.647,239.413,191.395,0.567
2.652,240.314,191.762,0.568
2.657,241.216,192.13,0.569
2.662,242.12,192.497,0.57
2.666,243.025,192.865,0.571
2.671,243.913,193.224,0.572
2.676,244.822,193.592,0.573
2.68,245.733,193.959,0.574
2.685,246.646,194.327,0.575
2.69,247.56,194.694,0.576
2.694,248.476,195.062,0.578
2.699,249.393,195.429,0.579
2.704,250.313,195.797,0.58
2.708,251.234,196.165,0.581
2.713,252.157,196.532,0.582
2.718,253.062,196.892,0.583
2.722,253.988,197.259,0.584
2.727,254.916,197.627,0.585
2.732,255.845,197.995,0.586
2.737,256.777,198.362,0.587
2.741,257.71,198.73,0.589
2.746,258.645,199.097,0.59
2.751,259.582,199.465,0.591
2.755,260.52,199.833,0.592
2.76,261.46,200.2,0.593
2.765,262.402,200.568,0.594
2.769,263.345,200.935,0.595
2.774,264.291,201.303,0.596
2.779,265.217,201.662,0.597
2.783,266.166,202.03,0.598
2.788,267.117,202.397,0.599
2.793,268.069,202.765,0.601
2.798,269.023,203.132,0.602
2.802,269.978,203.5,0.603
2.807,270.935,203.867,0.604
2.812,271.894,204.234,0.605
2.816,272.855,204.601,0.606
2.821,273.818,204.968,0.607
2.826,274.782,205.335,0.608
2.83,275.748,205.702,0.609
2.835,276.716,206.069,0.61
2.84,277.685,206.436,0.611
2.845,278.656,206.803,0.613
2.849,279.629,207.169,0.614
2.854,280.603,207.536,0.615
2.859,281.58,207.902,0.616
2.863,282.558,208.269,0.617
2.868,283.537,208.635,0.618
2.873,284.519,209.001,0.619
2.877,285.502,209.367,0.62
2.882,286.487,209.732,0.621
2.887,287.473,210.098,0.622
2.892,288.462,210.464,0.623
2.896,289.452,210.829,0.625
2.901,290.444,211.194,0.626
2.906,291.437,211.559,0.627
2.91,292.432,211.924,0.628
2.915,293.429,212.288,0.629
2.92,294.428,212.653,0.63
2.924,295.428,213.017,0.631
2.929,296.43,213.381,0.632
2.934,297.455,213.753,0.633
2.939,298.461,214.116,0.634
2.943,299.468,214.479,0.635
2.948,300.477,214.842,0.636
2.953,301.487,215.205,0.637
2.957,302.5,215.568,0.638
2.962,303.514,215.93,0.64
2.967,304.53,216.292,0.641
2.972,305.547,216.654,0.642
2.976,306.566,217.016,0.643
2.981,307.587,217.377,0.644
2.986,308.609,217.738,0.645
2.99,309.655,218.107,0.646
2.995,310.681,218.467,0.647
3,311.709,218.827,0.648
3.005,312.738,219.187,0.649
3.009,313.769,219.547,0.65
3.014,314.802,219.906,0.651
3.019,315.837,220.265,0.653
3.023,316.873,220.624,0.654
3.028,317.91,220.983,0.655
3.033,318.972,221.349,0.656
3.038,320.013,221.707,0.657
3.042,321.056,222.065,0.658
3.047,322.101,222.422,0.659
3.052,323.147,222.779,0.66
3.056,324.195,223.136,0.661
3.061,325.267,223.5,0.662
3.066,326.318,223.857,0.663
3.071,327.371,224.213,0.664
3.075,328.426,224.568,0.666
3.08,329.482,224.924,0.667
3.085,330.54,225.279,0.668
3.089,331.622,225.642,0.669
3.094,332.683,225.996,0.67
3.099,333.746,226.351,0.671
3.104,334.811,226.705,0.672
3.108,335.877,227.059,0.673
3.113,336.968,227.42,0.674
3.118,338.038,227.773,0.675
3.122,339.109,228.126,0.676
3.127,340.182,228.479,0.677
3.132,341.257,228.831,0.678
3.137,342.356,229.191,0.679
3.141,343.434,229.543,0.68
3.146,344.514,229.895,0.682
3.151,345.595,230.246,0.683
3.156,346.701,230.605,0.684
3.16,347.786,230.956,0.685
3.165,348.872,231.307,0.686
3.17,349.96,231.658,0.687
3.174,351.073,232.016,0.688
3.179,352.164,232.366,0.689
3.184,353.257,232.716,0.69
3.189,354.375,233.074,0.691
3.193,355.471,233.424,0.692
3.198,356.569,233.773,0.693
3.203,357.669,234.123,0.694
3.208,358.794,234.48,0.695
3.212,359.896,234.829,0.697
3.217,361.001,235.178,0.698
3.222,362.131,235.534,0.699
3.226,363.238,235.883,0.7
3.231,364.348,236.232,0.701
3.236,365.483,236.588,0.702
3.241,366.595,236.936,0.703
3.245,367.71,237.284,0.704
3.25,368.85,237.64,0.705
3.255,369.967,237.987,0.706
3.26,371.087,238.335,0.707
3.264,372.232,238.69,0.708
3.269,373.354,239.038,0.709
3.274,374.503,239.392,0.71
3.279,375.629,239.739,0.711
3.283,376.756,240.086,0.712
3.288,377.909,240.441,0.713
3.293,379.04,240.787,0.714
3.298,380.197,241.141,0.715
3.302,381.331,241.488,0.716
3.307,382.467,241.834,0.718
3.312,383.629,242.187,0.719
3.316,384.768,242.533,0.72
3.321,385.933,242.886,0.721
3.326,387.075,243.232,0.722
3.331,388.219,243.578,0.723
3.335,389.389,243.93,0.724
3.34,390.536,244.276,0.725
3.345,391.71,244.628,0.726
3.35,392.86,244.973,0.727
3.354,394.037,245.325,0.728
3.359,395.191,245.669,0.729
3.364,396.371,246.021,0.73
3.369,397.528,246.365,0.731
3.373,398.711,246.716,0.732
3.378,399.872,247.059,0.733
3.383,401.058,247.41,0.734
3.388,402.222,247.753,0.736
3.392,403.412,248.103,0.737
3.397,404.579,248.446,0.738
3.402,405.772,248.795,0.739
3.407,406.943,249.137,0.74
3.411,408.139,249.486,0.741
3.416,409.313,249.828,0.742
3.421,410.513,250.176,0.743
3.426,411.689,250.516,0.744
3.43,412.893,250.864,0.745
3.435,414.072,251.204,0.746
3.44,415.279,251.551,0.747
3.445,416.487,251.897,0.748
3.449,417.672,252.236,0.749
3.454,418.884,252.582,0.75
3.459,420.072,252.92,0.751
3.464,421.286,253.265,0.752
3.469,422.503,253.609,0.753
3.473,423.696,253.946,0.754
3.478,424.915,254.29,0.755
3.483,426.111,254.626,0.756
3.488,427.334,254.969,0.757
3.492,428.559,255.312,0.758
3.497,429.76,255.647,0.759
3.502,430.988,255.988,0.76
3.507,432.217,256.33,0.761
3.511,433.423,256.663,0.762
3.516,434.656,257.004,0.763
3.521,435.89,257.344,0.764
3.526,437.1,257.676,0.765
3.53,438.338,258.015,0.766
3.535,439.577,258.353,0.767
3.54,440.792,258.685,0.768
3.545,442.035,259.022,0.77
3.55,443.279,259.359,0.771
3.554,444.499,259.689,0.772
3.559,445.746,260.026,0.773
3.564,446.995,260.361,0.774
3.569,448.245,260.697,0.775
3.573,449.472,261.025,0.776
3.578,450.725,261.359,0.777
3.583,451.981,261.694,0.778
3.588,453.238,262.027,0.779
3.592,454.47,262.354,0.78
3.597,455.73,262.686,0.781
3.602,456.992,263.019,0.782
3.607,458.255,263.351,0.783
3.612,459.52,263.683,0.784
3.616,460.76,264.007,0.785
3.621,462.028,264.338,0.786
3.626,463.297,264.669,0.787
3.631,464.569,264.999,0.788
3.636,465.841,265.33,0.789
3.64,467.089,265.653,0.79
3.645,468.365,265.982,0.791
3.65,469.643,266.311,0.792
3.655,470.922,266.64,0.793
3.659,472.202,266.969,0.794
3.664,473.485,267.297,0.795
3.669,474.769,267.625,0.796
3.674,476.054,267.953,0.797
3.679,477.314,268.274,0.798
3.683,478.603,268.601,0.799
3.688,479.893,268.928,0.8
3.693,481.184,269.255,0.801
3.698,482.477,269.581,0.802
3.703,483.772,269.908,0.803
3.707,485.069,270.234,0.804
3.712,486.366,270.559,0.805
3.717,487.666,270.885,0.806
3.722,488.967,271.21,0.807
3.727,490.27,271.535,0.808
3.731,491.574,271.86,0.809
3.736,492.879,272.184,0.81
3.741,494.187,272.508,0.811
3.746,495.495,272.832,0.811
3.751,496.806,273.156,0.812
3.755,498.118,273.479,0.813
3.76,499.431,273.802,0.814
3.765,500.746,274.125,0.815
3.77,502.063,274.447,0.816
3.775,503.381,274.769,0.817
3.779,504.701,275.091,0.818
3.784,506.022,275.413,0.819
3.789,507.345,275.734,0.82
3.794,508.669,276.055,0.821
3.799,509.995,276.375,0.822
3.803,511.322,276.695,0.823
3.808,512.651,277.015,0.824
3.813,513.981,277.334,0.825
3.818,515.313,277.653,0.826
3.823,516.675,277.979,0.827
3.827,518.01,278.297,0.828
3.832,519.346,278.615,0.829
3.837,520.684,278.932,0.83
3.842,522.024,279.249,0.831
3.847,523.365,279.566,0.832
3.851,524.708,279.882,0.833
3.856,526.08,280.204,0.834
3.861,527.426,280.52,0.834
3.866,528.773,280.835,0.835
3.871,530.122,281.149,0.836
3.876,531.472,281.463,0.837
3.88,532.852,281.783,0.838
3.885,534.205,282.096,0.839
3.89,535.56,282.408,0.84
3.895,536.917,282.72,0.841
3.9,538.303,283.038,0.842
3.905,539.662,283.349,0.843
3.909,541.023,283.66,0.844
3.914,542.385,283.97,0.845
3.919,543.777,284.286,0.846
3.924,545.143,284.595,0.847
3.929,546.509,284.903,0.848
3.933,547.878,285.211,0.849
3.938,549.276,285.525,0.85
3.943,550.647,285.832,0.851
3.948,552.02,286.138,0.852
3.952,553.05,286.357,0.852
3.955,554.053,286.547,0.853
3.959,555.056,286.718,0.853
3.962,556.089,286.874,0.854
3.966,557.093,287.008,0.854
3.969,558.098,287.126,0.855
3.973,559.132,287.233,0.855
3.976,560.137,287.322,0.855
3.98,561.143,287.398,0.856
3.983,562.178,287.464,0.856
3.987,563.184,287.517,0.856
3.99,564.19,287.56,0.856
3.994,565.226,287.594,0.856
3.997,566.232,287.618,0.856
4.001,567.239,287.634,0.856
4.005,568.274,287.642,0.856
4.008,569.281,287.643,0.856
4.012,570.288,287.637,0.856
4.015,571.323,287.625,0.856
4.019,572.33,287.607,0.856
4.022,573.337,287.584,0.856
4.026,574.372,287.556,0.856
4.029,575.378,287.523,0.856
4.033,576.384,287.486,0.856
4.036,577.419,287.445,0.856
4.04,578.425,287.401,0.856
4.043,579.431,287.353,0.856
4.047,580.466,287.301,0.856
4.05,581.471,287.247,0.856
4.054,582.476,287.191,0.855
4.058,583.51,287.131,0.855
4.061,584.515,287.07,0.855
4.065,585.52,287.007,0.855
4.068,586.553,286.94,0.855
4.072,587.557,286.874,0.855
4.075,588.561,286.805,0.854
