# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
0,0,0,0.011
0.011,0,0.019,0.011
0.017,0,0.121,0.011
0.023,0.001,0.274,0.011
0.028,0.003,0.464,0.011
0.033,0.006,0.681,0.011
0.038,0.01,0.913,0.011
0.043,0.016,1.16,0.012
0.048,0.022,1.42,0.012
0.053,0.03,1.685,0.012
0.058,0.038,1.956,0.013
0.063,0.049,2.233,0.013
0.068,0.06,2.507,0.014
0.073,0.073,2.791,0.014
0.078,0.087,3.072,0.015
0.082,0.103,3.354,0.015
0.087,0.12,3.643,0.016
0.092,0.138,3.928,0.016
0.097,0.157,4.215,0.017
0.102,0.178,4.502,0.018
0.107,0.201,4.795,0.018
0.111,0.225,5.083,0.019
0.116,0.25,5.372,0.02
0.121,0.276,5.662,0.021
0.126,0.304,5.952,0.021
0.131,0.334,6.242,0.022
0.136,0.365,6.539,0.023
0.14,0.397,6.83,0.024
0.145,0.43,7.122,0.024
0.15,0.465,7.414,0.025
0.155,0.502,7.706,0.026
0.16,0.539,7.999,0.027
0.164,0.578,8.293,0.027
0.169,0.619,8.586,0.028
0.174,0.661,8.88,0.029
0.179,0.704,9.174,0.03
0.184,0.749,9.469,0.03
0.188,0.795,9.764,0.031
0.193,0.843,10.06,0.032
0.198,0.892,10.355,0.033
0.203,0.942,10.652,0.034
0.208,0.994,10.948,0.034
0.212,1.047,11.245,0.035
0.217,1.102,11.542,0.036
0.222,1.158,11.84,0.037
0.227,1.216,12.138,0.038
0.232,1.275,12.436,0.039
0.236,1.335,12.735,0.039
0.241,1.397,13.034,0.04
0.246,1.46,13.333,0.041
0.251,1.525,13.633,0.042
0.256,1.591,13.933,0.043
0.26,1.659,14.233,0.044
0.265,1.728,14.534,0.044
0.27,1.798,14.835,0.045
0.275,1.868,15.13,0.046
0.279,1.942,15.432,0.047
0.284,2.017,15.735,0.048
0.289,2.093,16.037,0.049
0.294,2.171,16.34,0.05
0.299,2.25,16.643,0.051
0.303,2.33,16.947,0.052
0.308,2.411,17.244,0.052
0.313,2.494,17.549,0.053
0.318,2.579,17.853,0.054
0.323,2.666,18.158,0.055
0.327,2.753,18.464,0.056
0.332,2.843,18.769,0.057
0.337,2.932,19.069,0.058
0.342,3.024,19.375,0.058
0.346,3.118,19.682,0.059
0.351,3.213,19.989,0.06
0.356,3.31,20.297,0.061
0.361,3.406,20.598,0.062
0.366,3.505,20.906,0.063
0.37,3.606,21.214,0.064
0.375,3.709,21.523,0.065
0.38,3.811,21.826,0.065
0.385,3.916,22.135,0.066
0.389,4.023,22.445,0.067
0.394,4.132,22.755,0.068
0.399,4.24,23.059,0.069
0.404,4.351,23.37,0.07
0.409,4.464,23.681,0.071
0.413,4.576,23.986,0.072
0.418,4.692,24.298,0.073
0.423,4.809,24.61,0.073
0.428,4.926,24.916,0.074
0.432,5.046,25.229,0.075
0.437,5.168,25.542,0.076
0.442,5.289,25.849,0.077
0.447,5.413,26.162,0.078
0.451,5.54,26.476,0.079
0.456,5.665,26.784,0.08
0.461,5.794,27.098,0.081
0.466,5.925,27.413,0.082
0.47,6.055,27.721,0.082
0.475,6.188,28.037,0.083
0.48,6.324,28.353,0.084
0.485,6.458,28.662,0.085
0.49,6.596,28.979,0.086
0.494,6.733,29.289,0.087
0.499,6.874,29.606,0.088
0.504,7.014,29.917,0.089
0.509,7.159,30.234,0.09
0.513,7.304,30.552,0.091
0.518,7.449,30.864,0.091
0.523,7.598,31.183,0.092
0.528,7.745,31.495,0.093
0.532,7.897,31.814,0.094
0.537,8.047,32.127,0.095
0.542,8.202,32.447,0.096
0.547,8.355,32.761,0.097
0.551,8.513,33.082,0.098
0.556,8.673,33.403,0.099
0.561,8.831,33.717,0.1
0.566,8.993,34.039,0.101
0.57,9.154,34.354,0.101
0.575,9.32,34.676,0.102
0.58,9.483,34.992,0.103
0.585,9.649,35.308,0.104
0.589,9.819,35.631,0.105
0.594,9.987,35.948,0.106
0.599,10.16,36.272,0.107
0.604,10.332,36.589,0.108
0.608,10.508,36.914,0.109
0.613,10.682,37.232,0.11
0.618,10.862,37.557,0.111
0.623,11.039,37.875,0.112
0.627,11.222,38.201,0.113
0.632,11.402,38.52,0.114
0.637,11.584,38.839,0.114
0.642,11.771,39.166,0.115
0.646,11.956,39.486,0.116
0.651,12.146,39.813,0.117
0.656,12.334,40.134,0.118
0.66,12.523,40.455,0.119
0.665,12.718,40.783,0.12
0.67,12.911,41.104,0.121
0.675,13.109,41.433,0.122
0.679,13.304,41.755,0.123
0.684,13.501,42.077,0.124
0.689,13.704,42.407,0.125
0.694,13.904,42.73,0.126
0.698,14.106,43.053,0.127
0.703,14.313,43.383,0.128
0.708,14.518,43.707,0.129
0.713,14.728,44.038,0.13
0.717,14.936,44.362,0.131
0.722,15.145,44.687,0.132
0.727,15.361,45.019,0.133
0.732,15.573,45.344,0.134
0.736,15.787,45.67,0.135
0.741,16.002,45.995,0.135
0.746,16.224,46.329,0.136
0.75,16.442,46.655,0.137
0.755,16.663,46.981,0.138
0.76,16.889,47.315,0.139
0.765,17.112,47.643,0.14
0.769,17.337,47.97,0.141
0.774,17.568,48.305,0.142
0.779,17.796,48.633,0.143
0.784,18.025,48.961,0.144
0.788,18.256,49.29,0.145
0.793,18.493,49.625,0.146
0.798,18.727,49.955,0.147
0.802,18.963,50.284,0.148
0.807,19.2,50.614,0.149
0.812,19.444,50.95,0.15
0.817,19.684,51.281,0.151
0.821,19.926,51.611,0.152
0.826,20.169,51.942,0.153
0.831,20.414,52.273,0.154
0.836,20.666,52.611,0.155
0.84,20.914,52.942,0.156
0.845,21.163,53.274,0.156
0.85,21.414,53.606,0.157
0.854,21.673,53.945,0.158
0.859,21.927,54.278,0.159
0.864,22.183,54.61,0.16
0.869,22.44,54.943,0.161
0.873,22.699,55.277,0.162
0.878,22.96,55.61,0.163
0.883,23.228,55.951,0.164
0.887,23.491,56.285,0.165
0.892,23.757,56.619,0.166
0.897,24.024,56.954,0.167
0.902,24.292,57.288,0.168
0.906,24.562,57.623,0.169
0.911,24.839,57.966,0.17
0.916,25.113,58.301,0.171
0.92,25.388,58.637,0.172
0.925,25.664,58.973,0.173
0.93,25.942,59.309,0.174
0.935,26.221,59.646,0.175
0.939,26.503,59.982,0.176
0.944,26.791,60.326,0.177
0.949,27.076,60.663,0.178
0.953,27.362,61.001,0.179
0.958,27.649,61.338,0.18
0.963,27.938,61.676,0.181
0.968,28.229,62.014,0.182
0.972,28.521,62.353,0.183
0.977,28.815,62.691,0.184
0.982,29.11,63.03,0.185
0.986,29.407,63.369,0.186
0.991,29.712,63.715,0.187
0.996,30.013,64.055,0.188
1.001,30.314,64.394,0.189
1.005,30.618,64.734,0.19
1.01,30.923,65.074,0.191
1.015,31.23,65.415,0.192
1.019,31.538,65.755,0.193
1.024,31.848,66.096,0.194
1.029,32.159,66.437,0.195
1.033,32.472,66.778,0.196
1.038,32.787,67.119,0.197
1.043,33.103,67.461,0.198
1.048,33.421,67.803,0.199
1.052,33.741,68.145,0.2
1.057,34.062,68.487,0.201
1.062,34.384,68.829,0.202
1.066,34.709,69.172,0.203
1.071,35.034,69.515,0.204
1.076,35.362,69.858,0.205
1.08,35.691,70.201,0.206
1.085,36.022,70.545,0.207
1.09,36.354,70.888,0.208
1.095,36.688,71.232,0.209
1.099,37.024,71.576,0.21
1.104,37.361,71.92,0.211
1.109,37.7,72.265,0.212
1.113,38.04,72.609,0.213
1.118,38.382,72.954,0.214
1.123,38.726,73.299,0.215
1.127,39.071,73.644,0.216
1.132,39.418,73.99,0.217
1.137,39.767,74.335,0.218
1.142,40.117,74.681,0.219
1.146,40.469,75.027,0.22
1.151,40.822,75.373,0.221
1.156,41.177,75.719,0.222
1.16,41.534,76.066,0.223
1.165,41.892,76.412,0.224
1.17,42.252,76.759,0.225
1.174,42.614,77.106,0.226
1.179,42.977,77.453,0.227
1.184,43.342,77.801,0.228
1.189,43.709,78.148,0.229
1.193,44.077,78.496,0.23
1.198,44.446,78.844,0.231
1.203,44.818,79.192,0.232
1.207,45.191,79.54,0.233
1.212,45.557,79.881,0.234
1.217,45.934,80.229,0.235
1.221,46.312,80.578,0.236
1.226,46.691,80.927,0.237
1.231,47.072,81.276,0.238
1.235,47.455,81.625,0.239
1.24,47.84,81.974,0.24
1.245,48.226,82.324,0.241
1.25,48.613,82.673,0.243
1.254,49.003,83.023,0.244
1.259,49.394,83.373,0.245
1.264,49.778,83.715,0.246
1.268,50.172,84.066,0.247
1.273,50.568,84.416,0.248
1.278,50.966,84.767,0.249
1.282,51.365,85.117,0.25
1.287,51.766,85.468,0.251
1.292,52.169,85.819,0.252
1.296,52.573,86.17,0.253
1.301,52.97,86.514,0.254
1.306,53.377,86.865,0.255
1.31,53.786,87.217,0.256
1.315,54.197,87.568,0.257
1.32,54.61,87.92,0.258
1.325,55.024,88.272,0.259
1.329,55.439,88.624,0.26
1.334,55.848,88.969,0.261
1.339,56.267,89.321,0.262
1.343,56.687,89.674,0.263
1.348,57.11,90.026,0.264
1.353,57.534,90.379,0.265
1.357,57.959,90.732,0.266
1.362,58.387,91.085,0.267
1.367,58.806,91.431,0.268
1.371,59.237,91.784,0.27
1.376,59.669,92.137,0.271
1.381,60.103,92.491,0.272
1.385,60.539,92.844,0.273
1.39,60.976,93.198,0.274
1.395,61.405,93.544,0.275
1.399,61.846,93.899,0.276
1.404,62.288,94.253,0.277
1.409,62.732,94.607,0.278
1.414,63.177,94.961,0.279
1.418,63.615,95.308,0.28
1.423,64.064,95.663,0.281
1.428,64.514,96.018,0.282
1.432,64.966,96.373,0.283
1.437,65.42,96.728,0.284
1.442,65.875,97.083,0.285
1.446,66.323,97.431,0.287
1.451,66.782,97.786,0.288
1.456,67.242,98.142,0.289
1.46,67.704,98.497,0.29
1.465,68.168,98.853,0.291
1.47,68.623,99.201,0.292
1.474,69.091,99.557,0.293
1.479,69.559,99.914,0.294
1.484,70.03,100.27,0.295
1.488,70.492,100.618,0.296
1.493,70.965,100.975,0.297
1.498,71.441,101.331,0.298
1.502,71.918,101.688,0.299
1.507,72.397,102.045,0.3
1.512,72.867,102.394,0.301
1.516,73.349,102.751,0.302
1.521,73.833,103.108,0.303
1.526,74.318,103.466,0.304
1.53,74.795,103.815,0.305
1.535,75.284,104.173,0.307
1.54,75.774,104.53,0.308
1.545,76.266,104.888,0.309
1.549,76.75,105.238,0.31
1.554,77.245,105.596,0.311
1.559,77.742,105.954,0.312
1.563,78.241,106.312,0.313
1.568,78.742,106.67,0.314
1.573,79.233,107.021,0.315
1.577,79.737,107.379,0.316
1.582,80.242,107.738,0.317
1.587,80.75,108.096,0.318
1.591,81.248,108.448,0.319
1.596,81.758,108.806,0.32
1.601,82.271,109.165,0.321
1.605,82.784,109.525,0.322
1.61,83.289,109.876,0.323
1.615,83.806,110.235,0.325
1.619,84.325,110.595,0.326
1.624,84.835,110.947,0.327
