time,alt,vel
6.677,1257.536,231.194
6.727,1269.073,230.266
6.777,1280.563,229.342
6.827,1292.007,228.423
6.877,1303.406,227.514
6.927,1314.759,226.61
6.977,1326.067,225.713
7.027,1337.33,224.82
7.077,1348.549,223.928
7.127,1359.723,223.039
7.177,1370.853,222.154
7.227,1381.938,221.27
7.277,1392.98,220.388
7.327,1403.977,219.511
7.377,1414.931,218.64
7.427,1425.841,217.773
7.477,1436.708,216.911
7.527,1447.532,216.055
7.577,1458.314,215.203
7.627,1469.053,214.355
7.677,1479.749,213.508
7.727,1490.404,212.663
7.777,1501.016,211.821
7.827,1511.586,210.98
7.877,1522.114,210.142
7.927,1532.6,209.308
7.977,1543.045,208.48
8.027,1553.448,207.657
8.077,1563.81,206.837
8.127,1574.132,206.019
8.177,1584.412,205.203
8.227,1594.652,204.388
8.277,1604.851,203.575
8.327,1615.01,202.765
8.377,1625.128,201.959
8.427,1635.206,201.158
8.477,1645.244,200.361
8.527,1655.242,199.569
8.577,1665.2,198.78
8.627,1675.12,197.993
8.677,1685,197.209
8.727,1694.841,196.427
8.777,1704.643,195.646
8.827,1714.405,194.866
8.877,1724.129,194.086
8.927,1733.814,193.305
8.977,1743.46,192.529
9.027,1753.067,191.757
9.077,1762.636,190.992
9.127,1772.166,190.233
9.177,1781.659,189.479
9.227,1791.114,188.729
9.277,1800.532,187.981
9.327,1809.912,187.234
9.377,1819.255,186.486
9.427,1828.561,185.737
9.477,1837.829,184.987
9.527,1847.06,184.235
9.577,1856.253,183.484
9.627,1865.408,182.736
9.677,1874.526,181.992
9.727,1883.607,181.256
9.777,1892.652,180.525
9.827,1901.66,179.802
9.877,1910.632,179.084
9.927,1919.568,178.369
9.977,1928.469,177.655
10.027,1937.334,176.94
10.077,1946.163,176.225
10.127,1954.956,175.506
10.177,1963.714,174.785
10.227,1972.435,174.063
10.277,1981.12,173.345
10.327,1989.769,172.631
10.377,1998.383,171.922
10.427,2006.962,171.218
10.477,2015.505,170.518
10.527,2024.014,169.821
10.577,2032.487,169.126
10.627,2040.926,168.436
10.677,2049.331,167.749
10.727,2057.701,167.062
10.777,2066.037,166.375
10.827,2074.339,165.687
10.877,2082.606,164.998
10.927,2090.838,164.308
10.977,2099.037,163.617
11.027,2107.2,162.93
11.077,2115.33,162.246
11.127,2123.425,161.564
11.177,2131.486,160.888
11.227,2139.514,160.215
11.277,2147.508,159.545
11.327,2155.468,158.878
11.377,2163.396,158.212
11.427,2171.289,157.546
11.477,2179.15,156.882
11.527,2186.978,156.221
11.577,2194.772,155.56
11.627,2202.534,154.9
11.677,2210.262,154.24
11.727,2217.958,153.58
11.777,2225.62,152.92
11.827,2233.25,152.261
11.877,2240.846,151.605
11.927,2248.41,150.951
11.977,2255.942,150.301
12.027,2263.44,149.653
12.077,2270.907,149.008
12.127,2278.341,148.367
12.177,2285.744,147.728
12.227,2293.114,147.091
12.277,2300.453,146.453
12.327,2307.759,145.817
12.377,2315.034,145.182
12.427,2322.278,144.546
12.477,2329.489,143.911
12.527,2336.669,143.276
12.577,2343.817,142.64
12.627,2350.933,142.005
12.677,2358.017,141.37
12.727,2365.07,140.736
12.777,2372.091,140.104
12.827,2379.08,139.476
12.877,2386.038,138.849
12.927,2392.965,138.226
12.977,2399.861,137.606
13.027,2406.726,136.988
13.077,2413.56,136.372
13.127,2420.363,135.757
13.177,2427.136,135.144
13.227,2433.878,134.533
13.277,2440.589,133.921
13.327,2447.27,133.309
13.377,2453.92,132.698
13.427,2460.539,132.09
13.477,2467.129,131.482
13.527,2473.688,130.875
13.577,2480.216,130.269
13.627,2486.715,129.662
13.677,2493.182,129.054
13.727,2499.62,128.448
13.777,2506.027,127.842
13.827,2512.404,127.239
13.877,2518.751,126.637
13.927,2525.068,126.038
13.977,2531.355,125.442
14.027,2537.612,124.846
14.077,2543.84,124.253
14.127,2550.037,123.66
14.177,2556.206,123.07
14.227,2562.344,122.481
14.277,2568.454,121.892
14.327,2574.534,121.303
14.377,2580.584,120.714
14.427,2586.605,120.125
14.477,2592.597,119.536
14.527,2598.559,118.946
14.577,2604.491,118.358
14.627,2610.394,117.769
14.677,2616.268,117.18
14.727,2622.112,116.593
14.777,2627.927,116.007
14.827,2633.713,115.424
14.877,2639.47,114.844
14.927,2645.198,114.266
14.977,2650.897,113.689
15.027,2656.567,113.113
15.077,2662.208,112.54
15.127,2667.821,111.969
15.177,2673.405,111.4
15.227,2678.961,110.831
15.277,2684.488,110.263
15.327,2689.987,109.694
15.377,2695.457,109.124
15.427,2700.899,108.555
15.477,2706.313,107.985
15.527,2711.698,107.416
15.577,2717.054,106.848
15.627,2722.383,106.279
15.677,2727.682,105.711
15.727,2732.954,105.145
15.777,2738.197,104.579
15.827,2743.412,104.013
15.877,2748.598,103.449
15.927,2753.757,102.886
15.977,2758.887,102.325
16.027,2763.989,101.764
16.077,2769.063,101.206
16.127,2774.11,100.648
16.177,2779.128,100.094
16.227,2784.119,99.542
16.277,2789.082,98.99
16.327,2794.018,98.44
16.377,2798.926,97.89
16.427,2803.807,97.341
16.477,2808.661,96.792
16.527,2813.486,96.243
16.577,2818.285,95.693
16.627,2823.056,95.143
16.677,2827.799,94.593
16.727,2832.515,94.042
16.777,2837.203,93.49
16.827,2841.864,92.937
16.877,2846.497,92.384
16.927,2851.102,91.831
16.977,2855.68,91.279
17.027,2860.23,90.727
17.077,2864.753,90.176
17.127,2869.248,89.626
17.177,2873.715,89.077
17.227,2878.156,88.53
17.277,2882.568,87.986
17.327,2886.954,87.444
17.377,2891.313,86.903
17.427,2895.645,86.364
17.477,2899.949,85.828
17.527,2904.227,85.293
17.577,2908.479,84.759
17.627,2912.703,84.227
17.677,2916.901,83.695
17.727,2921.073,83.164
17.777,2925.218,82.632
17.827,2929.336,82.099
17.877,2933.428,81.566
17.927,2937.493,81.032
17.977,2941.531,80.499
18.027,2945.542,79.965
18.077,2949.527,79.432
18.127,2953.486,78.898
18.177,2957.417,78.366
18.227,2961.322,77.834
18.277,2965.201,77.302
18.327,2969.052,76.771
18.377,2972.878,76.241
18.427,2976.677,75.712
18.477,2980.449,75.184
18.527,2984.195,74.656
18.577,2987.915,74.129
18.627,2991.608,73.602
18.677,2995.275,73.077
18.727,2998.915,72.552
18.777,3002.53,72.028
18.827,3006.118,71.505
18.877,3009.681,70.983
18.927,3013.217,70.461
18.977,3016.727,69.939
19.027,3020.211,69.418
19.077,3023.668,68.896
19.127,3027.1,68.375
